generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
1,2.6048590000000003,2,0,0,489,NaN,0
2,5.3944969,2.0236,1.0042372881355932,2,482,100,0
3,8.2322265,2.0334,1.0179640718562875,2.22,471,70,3.278688524590164
4,10.9547011,2.0391,1.020460358056266,2.085714285714286,468,55.714285714285715,5.333333333333334
5,13.926287499999999,2.0456,1.0175438596491229,2.013157894736842,465,63.1578947368421,9.63855421686747
6,16.667656299999997,2.0489,1.0102249488752557,2.0375,464,56.25,3.571428571428571
7,19.621774699999996,2.053,1.0113207547169811,2.9069767441860463,475,89.53488372093024,7.092198581560284
8,22.442326299999998,2.0853,1.0175849941383353,2.9302325581395348,485,82.55813953488372,11.188811188811188
9,25.3020279,2.1447,1.0207325501036628,3.272727272727273,480,81.81818181818183,10.062893081761008
10,28.237462299999997,2.2109,1.0241820768136558,3.347826086956522,477,86.95652173913044,9.146341463414634
11,31.267290699999997,2.2654,1.0275056518462697,3.4,474,73.33333333333333,18.29268292682927
12,35.7573328,2.3191,1.0325916640551551,4.467391304347826,470,73.91304347826086,12.135922330097088
13,38.6424843,2.3585,1.0362622036262203,4.553191489361702,465,64.8936170212766,17.92452830188679
14,41.6138664,2.3928,1.0336048879837068,3.9148936170212765,465,65.95744680851064,20.408163265306122
15,44.5232021,2.4236,1.0365911237016052,4.946808510638298,465,77.6595744680851,14.347826086956522
16,47.2640695,2.4371,1.0368336765042325,4.802083333333333,467,68.75,17.03056768558952
17,50.1051088,2.4585,1.0344601962922573,5.26595744680851,461,60.63829787234043,20.98765432098765
18,53.071456899999994,2.475,1.0305263157894737,5.010416666666667,463,65.625,19.367588932806324
19,56.083334799999996,2.4923,1.0282348161690027,4.326530612244898,459,67.3469387755102,23.348017621145374
20,59.020794099999996,2.504,1.0287698412698412,5.541666666666667,460,67.70833333333334,20.075757575757574
21,61.9606401,2.5113,1.030314883629963,5.3125,462,57.291666666666664,21.189591078066915
22,64.8688478,2.5264,1.032484802431611,5.387755102040816,458,62.244897959183675,18.772563176895307
23,67.8172933,2.5326,1.0341719864814118,5.5,459,63.541666666666664,22.48062015503876
24,71.058812,2.5419,1.0324783170326628,5.78125,462,56.25,21.033210332103323
25,74.0524073,2.551,1.0364791288566244,5.775510204081633,462,60.204081632653065,20.735785953177256
26,77.1083442,2.5571,1.0306946688206786,5.673469387755102,461,58.16326530612245,22.22222222222222
27,79.9324601,2.5674,1.0278463165315475,5.969387755102041,460,60.204081632653065,21.052631578947366
