generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.021139,2,0,0,96,NaN,0
1,0.042302000000000006,2.02,1,2.5,92,50,33.33333333333333
2,0.0593356,2.02,1,1.92,97,42,27.450980392156865
3,0.07884150000000001,2.05,1,1.7142857142857142,95,65.71428571428571,33.89830508474576
4,0.09714350000000001,2.04,1,1.7236842105263157,95,69.73684210526315,40
5,0.1172629,2.03,1,1.7125,93,61.25000000000001,31.343283582089555
6,0.1359873,2.03,1,1.7325581395348837,92,68.6046511627907,37.5
7,0.1553605,2.02,1,1.872093023255814,88,61.627906976744185,17.333333333333336
8,0.17465580000000003,2.02,1,1.8409090909090908,86,57.95454545454546,19.230769230769234
9,0.19441460000000002,2.02,1,1.7826086956521738,76,58.69565217391305,21.052631578947366
10,0.21412550000000002,2.04,1,1.7555555555555555,72,56.666666666666664,26.923076923076923
11,0.23304800000000003,2.05,1,1.7065217391304348,69,53.2608695652174,22.78481012658228
12,0.2532131,2.03,1,1.7446808510638299,69,54.25531914893617,18.29268292682927
13,0.2766132,2.05,1,1.7765957446808511,67,57.446808510638306,25.301204819277107
14,0.29670610000000003,2.05,1,1.797872340425532,66,52.12765957446809,17.441860465116278
15,0.31867320000000005,2.03,1,1.8125,65,53.125,16.666666666666664
16,0.34016840000000004,2.03,1,1.7659574468085106,71,52.12765957446809,17.073170731707318
17,0.35852660000000003,2.02,1,1.7708333333333333,66,56.25,18.29268292682927
18,0.3779715,2.03,1,1.7040816326530612,69,54.08163265306123,31.818181818181817
19,0.3968166,2.06,1.1666666666666667,1.8125,66,52.083333333333336,15.11627906976744
20,0.41681250000000003,2.08,1.125,1.7083333333333333,70,51.041666666666664,22.89156626506024
21,0.43756510000000004,2.09,1,1.663265306122449,71,52.04081632653062,26.923076923076923
22,0.45962780000000003,2.13,1,1.7708333333333333,69,55.208333333333336,17.28395061728395
23,0.48177810000000004,2.18,1,1.8125,67,54.166666666666664,19.047619047619047
24,0.5041635,2.18,1,1.7857142857142858,68,53.06122448979592,14.942528735632186
25,0.5245041,2.16,1,1.7755102040816326,66,54.08163265306123,15.853658536585366
26,0.5462798,2.18,1,1.7551020408163265,72,53.06122448979592,26.96629213483146
27,0.5707468,2.16,1,1.7755102040816326,74,53.06122448979592,17.647058823529413
28,0.5963372,2.2,1,1.6734693877551021,67,53.06122448979592,22.5
29,0.6196043,2.22,1,1.75,69,50,15.909090909090908
30,0.6409817,2.22,1,1.8,75,51,15.730337078651685
31,0.6625995,2.19,1,1.78,72,52,11.904761904761903
32,0.6813446,2.19,1,1.6938775510204083,69,51.02040816326531,24.691358024691358
33,0.7024444,2.2,1,1.7653061224489797,68,50,15.11627906976744
34,0.7206673,2.26,1,1.7346938775510203,71,51.02040816326531,22.727272727272727
35,0.7410792,2.4,1,2.03,65,60,13.978494623655912
36,0.7633340000000001,2.47,1,1.69,64,50,19.51219512195122
37,0.7851596000000001,2.47,1,1.75,68,54,18.072289156626507
38,0.807903,2.46,1,1.7755102040816326,65,52.04081632653062,17.24137931034483
39,0.8322271,2.49,1.0204081632653061,1.6734693877551021,64,51.02040816326531,19.230769230769234
40,0.8542507,2.58,1.0344827586206897,1.7448979591836735,69,51.02040816326531,17.073170731707318
41,0.876129,2.66,1.0454545454545454,1.78,66,51,16.091954022988507
42,0.8998009,2.54,1.0185185185185186,1.79,65,51,17.391304347826086
43,0.9234662,2.7,1,1.78,62,51,17.24137931034483
44,0.945509,2.72,1,1.7448979591836735,60,51.02040816326531,20
45,0.9652241,2.59,1,1.7653061224489797,65,51.02040816326531,20.224719101123593
46,0.9861926000000001,2.64,1.015625,1.7653061224489797,64,51.02040816326531,18.823529411764707
47,1.0067372,2.57,1.0175438596491229,1.75,68,53,17.647058823529413
48,1.0268771,2.49,1,1.79,66,52,14.942528735632186
49,1.0478002000000002,2.57,1,1.8,66,52,17.24137931034483
50,1.0684633000000001,2.7,1,1.78,69,50,16.666666666666664
51,1.089245,2.7,1,1.69,61,52,22.093023255813954
52,1.109786,2.7,1,1.77,64,52,19.565217391304348
53,1.1309167999999998,2.66,1,1.75,64,51,16.666666666666664
54,1.1535457999999998,2.66,1.0151515151515151,1.75,68,50,21.978021978021978
55,1.1736669999999998,2.68,1.1029411764705883,1.73,67,51,18.072289156626507
56,1.1950776999999997,2.72,1.2083333333333333,1.77,65,50,19.101123595505616
57,1.2150203999999998,2.67,1.2238805970149254,1.7549019607843137,63,50.98039215686274,22.82608695652174
58,1.2356730999999999,2.71,1.267605633802817,1.7549019607843137,65,50,21.34831460674157
59,1.2567665,2.73,1.3287671232876712,1.7549019607843137,60,51.9607843137255,19.318181818181817
60,1.2764365,2.75,1.3866666666666667,1.7843137254901962,61,52.94117647058824,21.978021978021978
61,1.2953284999999999,2.8,1.35,1.7058823529411764,62,49.01960784313725,18.39080459770115
62,1.3158907,2.78,1.3333333333333333,1.7352941176470589,62,51.9607843137255,18.181818181818183
63,1.3370481,2.75,1.2933333333333332,1.73,62,49,16.27906976744186
64,1.3590153,2.84,1.2380952380952381,1.75,58,52,17.97752808988764
65,1.3797663,2.88,1.3522727272727273,1.77,61,51,20
66,1.4006869,2.89,1.3820224719101124,1.76,60,50,18.823529411764707
67,1.4216404,2.84,1.380952380952381,1.71,64,50,20.454545454545457
68,1.4433420000000001,2.85,1.4470588235294117,1.79,67,50,18.478260869565215
69,1.4640138,2.84,1.5476190476190477,1.7254901960784315,64,51.9607843137255,22.727272727272727
