generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0364224,2,0,0,17,NaN,0
1,0.0538106,2,0,1,30,0,0
2,0.07464319999999999,2,0,1.52,31,74,19.35483870967742
3,0.0960253,2,0,1.5857142857142856,40,65.71428571428571,71.9298245614035
4,0.11796,2,0,1.8157894736842106,45,47.368421052631575,64.55696202531645
5,0.1431306,2.03,1,2.0375,54.58333333333333,46.25,60.43956043956044
6,0.1652746,2.01,1,2.5697674418604652,47.583333333333336,40.69767441860465,64.70588235294117
7,0.1895625,2,0,2.7906976744186047,47.33333333333333,52.32558139534884,72
8,0.21154,2.01,1,2.7386363636363638,48.5,46.590909090909086,71.42857142857143
9,0.23663820000000002,2.01,1,2.858695652173913,49,58.69565217391305,70.22900763358778
10,0.262616,2.01,1,2.6666666666666665,49.833333333333336,53.333333333333336,62.8099173553719
11,0.2890642,2.01,1,3.0434782608695654,50,50,71.52777777777779
12,0.3149857,2,0,2.6702127659574466,49.33333333333333,46.808510638297875,65.38461538461539
13,0.34209629999999996,2.01,1,2.8297872340425534,54.666666666666664,44.680851063829785,65.21739130434783
14,0.3668726,2.04,1,3.1382978723404253,47.416666666666664,38.297872340425535,65.359477124183
15,0.393049,2.05,1,2.71875,48.16666666666667,41.66666666666667,61.48148148148148
16,0.4170423,2.03,1,2.904255319148936,51.91666666666666,47.87234042553192,65.94202898550725
17,0.44318409999999997,2.02,1,2.84375,50.75,42.70833333333333,65.73426573426573
18,0.4688151,2,0,3.0816326530612246,47.41666666666666,48.97959183673469,69.48051948051948
19,0.4964106,2.03,1,3.40625,54.99999999999999,51.041666666666664,74.39024390243902
20,0.5266174,2,0,3.2083333333333335,49.416666666666664,53.125,73.20261437908496
21,0.5543403,2.01,1,3.2448979591836733,54.83333333333333,43.87755102040816,69.51219512195121
22,0.5829244,2.01,1,3.3333333333333335,55.249999999999986,51.041666666666664,72.5
23,0.6104824,2.01,1,3.0833333333333335,49.99999999999999,48.95833333333333,68.45637583892618
24,0.6373995,2.04,1,3.142857142857143,54.49999999999999,46.93877551020408,69.23076923076923
25,0.6659987,2.06,1,3.1122448979591835,55.91666666666666,56.12244897959183,73.50993377483444
26,0.6923714000000001,2.05,1,3.2244897959183674,47.58333333333332,50,70.88607594936708
27,0.7172273000000001,2.06,1,3.0510204081632653,49.49999999999999,46.93877551020408,68.21192052980133
28,0.7423088000000001,2.1,1,3.2142857142857144,52.75,55.10204081632652,71.3375796178344
