generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0533257,2,0,0,23,NaN,0
1,0.099909,2,0,1,37,100,100
2,0.1475426,2.01,1,1.28,32,46,53.333333333333336
3,0.2064747,2.02,1,1.0571428571428572,31,54.285714285714285,35.8974358974359
4,0.26110880000000003,2,0,1.236842105263158,32.5,52.63157894736842,47.72727272727273
5,0.27951390000000004,2.01,1,1.1375,30.5,42.5,32.608695652173914
6,0.29762210000000006,2.01,1,1.813953488372093,34.5,48.837209302325576,42.5
7,0.31667350000000005,2,0,1.0930232558139534,35,53.48837209302325,40
8,0.33567640000000004,2.02,1,2.0795454545454546,34.91666666666667,51.13636363636363,50.56179775280899
9,0.35497750000000006,2,0,2.1630434782608696,35,42.391304347826086,48.51485148514851
10,0.3740260000000001,2.02,1,2.3444444444444446,43.75,42.22222222222222,52.77777777777778
11,0.3933581000000001,2.05,1,1.8804347826086956,36,55.434782608695656,61.038961038961034
12,0.4142877000000001,2.05,1.2,2.1914893617021276,43,73.40425531914893,55.670103092783506
13,0.43570710000000007,2.04,1,2.3404255319148937,49,58.51063829787234,56.75675675675676
14,0.45875430000000006,2.02,1,2.1702127659574466,54.5,64.8936170212766,60.60606060606061
15,0.48536310000000005,2.03,1,2.3541666666666665,59,66.66666666666666,58.333333333333336
16,0.5106617,2.03,1,2.24468085106383,62.5,63.829787234042556,63.8095238095238
17,0.5372195,2.02,1,2.3958333333333335,64,57.291666666666664,61.206896551724135
18,0.5641257,2.02,1,2.438775510204082,71,58.16326530612245,61.66666666666667
19,0.592587,2.01,1,2.3854166666666665,72,61.458333333333336,65.21739130434783
20,0.6209872,2.01,1,2.5208333333333335,71,55.208333333333336,61.98347107438017
21,0.6505669,2.01,1,2.3979591836734695,76,58.16326530612245,61.53846153846154
22,0.6779563,2,0,2.5208333333333335,71.5,51.041666666666664,63.41463414634146
23,0.7043241,2,0,2.3333333333333335,77,60.416666666666664,61.81818181818181
24,0.7323572,2,0,2.316326530612245,75.5,57.14285714285714,66.95652173913044
25,0.7616111000000001,2,0,2.4591836734693877,76,58.16326530612245,66.94915254237289
26,0.7891546,2,0,2.5918367346938775,76,56.12244897959183,65.60000000000001
27,0.8159152000000001,2,0,2.5,77.5,59.183673469387756,68.33333333333333
28,0.8435301000000001,2,0,2.6122448979591835,76,47.95918367346938,63.358778625954194
29,0.8705529000000001,2,0,2.69,75,51,68.38235294117648
30,0.8981051000000001,2,0,2.63,76.5,51,62.40601503759399
31,0.9267911000000001,2.02,1,2.49,75.5,50,64.28571428571429
32,0.9524173000000001,2.02,1,2.5918367346938775,73.5,57.14285714285714,68.50393700787401
33,0.9789098000000002,2.02,1,2.7653061224489797,76.5,56.12244897959183,63.43283582089553
34,1.0050788000000002,2,0,2.5510204081632653,76.5,62.244897959183675,72.1311475409836
35,1.0319012,2,0,2.62,74,63,68.75
36,1.0590854,2.01,1,2.52,74.5,56.00000000000001,64.51612903225806
37,1.087118,2.01,1,2.5,72,60,66.12903225806451
38,1.1126673,2.02,1,2.4693877551020407,73,58.16326530612245,64.46280991735537
39,1.1382419,2.01,1,2.520408163265306,72.5,54.08163265306123,67.47967479674797
40,1.1677859,2,0,2.7142857142857144,76,53.06122448979592,65.67164179104478
41,1.1943180999999998,2,0,2.57,75.5,50,67.93893129770993
42,1.2205127999999998,2.01,1,2.65,74,51,66.4179104477612
43,1.2472911999999998,2.01,1,2.62,70,59,67.1875
44,1.2736073999999997,2.03,1,2.5714285714285716,77.5,64.28571428571429,66.11570247933885
45,1.3011449999999998,2.01,1,2.7142857142857144,76,54.08163265306123,67.93893129770993
46,1.3281630999999998,2.03,1,2.683673469387755,74,56.12244897959183,66.15384615384615
47,1.3536392999999998,2.02,1,2.55,74,54,66.40625
48,1.3807380999999999,2.02,1,2.51,72.5,55.00000000000001,68.25396825396825
49,1.4075571999999998,2.01,1,2.61,74,47,64.39393939393939
50,1.4331573999999998,2,0,2.75,73,60,69.40298507462687
51,1.4602349,2.02,1,2.71,73,56.00000000000001,69.40298507462687
52,1.491661,2.01,1,2.72,71.5,52,63.970588235294116
53,1.5208201,2,0,2.68,78,48,70.07299270072993
54,1.5477915999999998,2,0,2.7,74,52,67.4074074074074
55,1.5757069,2,0,2.66,75,59,70
56,1.6028886,2.01,1,2.75,73,65,72.72727272727273
57,1.6277031,2.01,1,2.7450980392156863,74.5,49.01960784313725,68.30985915492957
58,1.6549593,2.03,1,2.6176470588235294,74.5,50.98039215686274,68.14814814814815
59,1.6857182,2.02,1,2.7254901960784315,75.5,48.03921568627451,66.19718309859155
60,1.7145196,2.04,1,2.7254901960784315,72,50.98039215686274,70
61,1.7407794,2.02,1,2.735294117647059,71.5,50,68.08510638297872
62,1.7688628000000002,2.02,1,2.676470588235294,73,55.88235294117647,67.91044776119402
63,1.796264,2.02,1,2.84,73.5,56.99999999999999,70
64,1.8230790000000001,2.02,1,2.62,72.5,51,67.17557251908397
65,1.8507592000000002,2.01,1,2.64,73.5,57.99999999999999,70
66,1.8787215000000002,2.01,1,2.77,74.5,66,70.45454545454545
67,1.9039473000000002,2.01,1,2.85,72.5,57.99999999999999,69.28571428571428
68,1.9319869000000003,2,0,2.77,73.5,48,68.57142857142857
69,1.9597521000000002,2.02,1,2.764705882352941,76.5,48.03921568627451,65.03496503496503
70,1.9873735000000001,2.01,1,2.764705882352941,74.5,50.98039215686274,70.4225352112676
71,2.0137616,2,0,2.7450980392156863,74,53.92156862745098,68.57142857142857
72,2.0410849,2,0,2.764705882352941,74,48.03921568627451,67.13286713286713
73,2.0690251,2,0,2.843137254901961,76,54.90196078431373,71.52777777777779
74,2.0967419,2.02,1,2.6862745098039214,74,50.98039215686274,67.15328467153284
75,2.1236444,2.03,1,2.8137254901960786,76,55.88235294117647,68.79432624113475
76,2.1521583,2.02,1,2.83,75.5,61,72.26277372262774
77,2.1813777,2,0,2.79,75,50,72.14285714285714
78,2.2102982,2,0,2.94,74,57.99999999999999,69.44444444444444
79,2.2375237,2,0,2.82,73,56.00000000000001,69.7841726618705
80,2.2641631,2,0,2.6,72,52,67.6923076923077
81,2.2923138,2.01,1,2.74,80,54,68.88888888888889
82,2.3202067,2,0,2.607843137254902,75.5,57.84313725490197,68.70229007633588
83,2.3474529,2,0,2.803921568627451,75,55.88235294117647,67.14285714285714
84,2.3748415,2.01,1,2.7941176470588234,77.5,59.80392156862745,69.7841726618705
85,2.4037991,2.03,1,2.7745098039215685,76.5,49.01960784313725,68.53146853146853
86,2.4322798,2.04,1,2.764705882352941,77,50.98039215686274,69.50354609929079
87,2.4596928,2.04,1,2.7450980392156863,73,53.92156862745098,68.84057971014492
88,2.4879307,2.02,1,2.82,73.5,54,69.7841726618705
