generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0200482,2,0,0,20.5,NaN,0
1,0.045227199999999995,2.01,1,2,32.5,50,100
2,0.0722665,2.04,1,1.3,34,56.00000000000001,38.70967741935484
3,0.0934383,2.02,1,1.457142857142857,39,50,49.01960784313725
4,0.1144937,2,0,1.4342105263157894,38,51.31578947368421,48.148148148148145
5,0.1357412,2,0,1.4,39.5,52.5,50.90909090909091
6,0.1584075,2,0,1.3837209302325582,40,51.162790697674424,49.152542372881356
7,0.18197760000000002,2,0,1.441860465116279,41,50,50
8,0.20669230000000002,2,0,1.6931818181818181,38,64.77272727272727,58.82352941176471
9,0.23165790000000003,2,0,1.4673913043478262,38.5,46.73913043478261,55.072463768115945
10,0.259531,2,0,1.4222222222222223,41,52.22222222222223,53.96825396825397
11,0.2909713,2,0,1.5217391304347827,44.5,54.347826086956516,50
12,0.3205338,2,0,1.3191489361702127,41,43.61702127659575,38.46153846153847
13,0.348531,2,0,1.3829787234042554,41,45.744680851063826,40.298507462686565
14,0.3765551,2,0,1.3829787234042554,38,50,49.23076923076923
15,0.39934129999999995,2.01,1,1.4895833333333333,42,48.95833333333333,45.83333333333333
16,0.42588349999999997,2,0,1.3829787234042554,42,47.87234042553192,33.33333333333333
17,0.4516553,2.01,1,1.4166666666666667,48.5,43.75,39.436619718309856
18,0.474967,2.03,1,1.7857142857142858,47.5,57.14285714285714,58.333333333333336
19,0.49807589999999996,2,0,1.4166666666666667,48.5,52.083333333333336,49.25373134328358
20,0.5209762,2,0,1.9895833333333333,47,57.291666666666664,60.86956521739131
21,0.5441259,2.01,1,1.9591836734693877,51,58.16326530612245,63.04347826086957
22,0.5680310000000001,2.01,1,1.9583333333333333,51,58.333333333333336,60
23,0.5932777,2.03,1,1.9270833333333333,54,53.125,61.53846153846154
24,0.6188012,2.03,1,1.969387755102041,57.5,63.26530612244898,57.77777777777777
25,0.6433816,2.03,1,2.0408163265306123,57.5,58.16326530612245,56.25
26,0.6706947,2.01,1,2.0918367346938775,59.5,44.89795918367347,54.285714285714285
27,0.6964718999999999,2,0,2.1122448979591835,65,55.10204081632652,61.386138613861384
28,0.7237368,2,0,1.9489795918367347,64.5,63.26530612244898,56.17977528089888
29,0.7513179999999999,2,0,1.85,60,69,60.24096385542169
30,0.7808369,2,0,2.16,63,52,61.6822429906542
31,0.8086572999999999,2,0,2.14,61.5,54,58.0952380952381
32,0.8378230999999999,2.01,1,2.0510204081632653,62,53.06122448979592,53.535353535353536
33,0.8658598,2,0,2.1122448979591835,63,51.02040816326531,57.28155339805825
34,0.8951001,2,0,2.1530612244897958,67.5,53.06122448979592,60.57692307692307
35,0.9243722999999999,2.01,1,1.81,60.5,45,53.76344086021505
36,0.952603,2,0,2.28,63.5,50,58.77192982456141
37,0.9816732,2,0,2.21,63.5,59,62.264150943396224
38,1.0090127,2,0,2.0918367346938775,67,55.10204081632652,61
39,1.0386037,2.01,1,2.2653061224489797,63,64.28571428571429,64.42307692307693
40,1.0771613999999998,2.01,1,2.193877551020408,63.5,55.10204081632652,55.23809523809524
41,1.1035951999999998,2.03,1,2.27,69,59,60.550458715596335
42,1.1291767999999998,2.03,1,2.33,63,49,58.97435897435898
43,1.1587206999999997,2.01,1,2.15,64.5,65,64
44,1.1869317999999998,2.01,1,2.2448979591836733,68,56.12244897959183,60.747663551401864
45,1.2136544999999999,2.01,1,2.1122448979591835,67,67.3469387755102,57.89473684210527
46,1.2397905999999999,2,0,2.4081632653061225,60.5,50,61.016949152542374
47,1.2663650999999998,2,0,2.24,66,57.99999999999999,66.66666666666666
48,1.2919572999999998,2,0,2.29,66,59,63.63636363636363
49,1.3172510999999998,2.01,1,2.19,61.5,65,60.78431372549019
50,1.3447072999999998,2,0,2.25,62.5,43,54.310344827586206
51,1.3718184999999998,2,0,2.39,66,55.00000000000001,60.68376068376068
52,1.3993512999999997,2.01,1,2.36,61,44,59.50413223140496
53,1.4278980999999997,2,0,2.31,65,49,65.51724137931035
54,1.4541591999999997,2,0,2.35,60,61,66.07142857142857
55,1.4839210999999997,2,0,2.15,65,59,64.07766990291263
56,1.5141592999999998,2.01,1,2.35,68.5,65,65.45454545454545
57,1.5400239999999998,2.02,1,2.5,64,64.70588235294117,66.66666666666666
58,1.5653348999999999,2.04,1,2.3137254901960786,62.5,50,61.016949152542374
59,1.5918379999999999,2.02,1,2.3627450980392157,69.5,56.86274509803921,64.95726495726495
60,1.6186158,2.04,1,2.4411764705882355,67.5,56.86274509803921,60.33057851239669
61,1.6450398,2.01,1,2.4215686274509802,67.5,52.94117647058824,62.295081967213115
62,1.6712805,2.02,1,2.2745098039215685,68,59.80392156862745,64.86486486486487
63,1.6968218,2.01,1,2.21,66.5,59,62.264150943396224
64,1.7223429,2,0,1.96,69,56.00000000000001,57.89473684210527
65,1.7492972999999998,2,0,2.4,62,56.00000000000001,63.24786324786324
66,1.7750986999999998,2.01,1,2.24,63,48,54.86725663716814
67,1.8002644999999997,2.01,1,2.24,66.5,50,66.07142857142857
68,1.8260668999999996,2.01,1,2.46,69.5,52,65.57377049180327
69,1.8541917999999995,2.01,1,2.4019607843137254,65.5,56.86274509803921,69.74789915966386
70,1.8814350999999996,2,0,2.5392156862745097,67.5,52.94117647058824,64.0625
71,1.9085387999999996,2,0,2.480392156862745,68.5,50.98039215686274,60.317460317460316
72,1.9338180999999997,2,0,2.4705882352941178,66.5,55.88235294117647,63.41463414634146
73,1.9600510999999996,2.01,1,2.235294117647059,66.5,50,55.26315789473685
74,1.9881779999999996,2.05,1,2.5784313725490198,68.5,54.90196078431373,65.11627906976744
75,2.0151651999999998,2.07,1,2.627450980392157,69,51.9607843137255,63.90977443609023
76,2.044101,2.06,1,2.53,70,53,64.8
