generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.1678629,2,0,0,92,NaN,0
1,0.4836631,2.0064,1,6,100,0,0
2,0.8124323,2.012,1,6.42,100,6,0
3,1.1395852,2.0248,1,8.242857142857142,100,27.142857142857142,0
4,1.4646813,2.0344,1,8.75,100,31.57894736842105,0
5,1.7634052,2.0476,1,11.425,100,88.75,1.1441647597254003
6,2.0700629,2.0664,1.0060240963855422,11.755813953488373,100,94.18604651162791,1.8556701030927836
7,2.4080209,2.1004,1.0079681274900398,12.488372093023257,100,89.53488372093024,3.4615384615384617
8,2.7171705,2.1576,1.00253807106599,13.215909090909092,100,82.95454545454545,3.3509700176366843
9,3.0355178,2.25,1.0048,13.33695652173913,100,77.17391304347827,4.159733777038269
10,3.3422345,2.394,1.0101522842639594,1.5888888888888888,100,100,100
11,3.7110831,2.5892,1.0081466395112015,1.5434782608695652,100,97.82608695652173,100
12,4.1575236,2.8076,1.0074294205052006,1.553191489361702,100,94.68085106382979,100
13,4.694698300000001,2.9616,1.0037437603993344,1.446808510638298,100,90.42553191489363,100
14,5.2559089000000005,3.0312,1.0027152831652444,1.4361702127659575,99,87.2340425531915,100
15,5.7891497,3.0452,1.0038270187523919,1.4166666666666667,97,85.41666666666666,100
16,6.227169900000001,3.0616,1.0022607385079125,1.372340425531915,93,82.97872340425532,100
17,6.592667700000001,3.0784,1.0018545994065282,1.3333333333333333,87,79.16666666666666,100
18,6.9245273,3.1148,1.0007176175098673,1.3061224489795917,77,78.57142857142857,100
19,7.2648286,3.1328,1.0010593220338984,1.3125,68,77.08333333333334,100
20,7.562742,3.1504,1.0006954102920724,1.2916666666666667,67,75,100
21,7.8780766,3.1644,1.002061147372037,1.3061224489795917,66,74.48979591836735,100
22,8.1800367,3.1872,1.0023584905660377,1.25,62,72.91666666666666,100
23,8.512737900000001,3.192,1.001006711409396,1.2604166666666667,61,71.875,100
24,8.826174300000002,3.1932,1.0013409319477036,1.2551020408163265,63,71.42857142857143,100
25,9.115480000000002,3.2104,1.0003304692663582,1.2448979591836735,63,70.40816326530613,100
26,9.458518800000002,3.2272,1.0016297262059974,1.2142857142857142,64,69.38775510204081,100
27,9.882397800000001,3.23,1.0009756097560976,1.2040816326530612,63,68.36734693877551,100
28,10.298647200000001,3.2492,1.0028818443804035,1.1938775510204083,63,67.3469387755102,100
29,10.8982448,3.27,1.0031496062992127,1.22,64,68,100
30,11.272957400000001,3.2804,1.0021868166198062,1.19,64,67,100
31,11.596898300000001,3.2812,1.0018732438339057,1.21,63,67,100
32,11.924494800000002,3.2904,1.000929944203348,1.1734693877551021,64,65.3061224489796,100
33,12.2382272,3.284,1.0021806853582556,1.1734693877551021,62,65.3061224489796,100
34,12.5695964,3.276,1.0009404388714733,1.1428571428571428,63,64.28571428571429,100
35,12.8978846,3.2716,1.0012582573136206,1.19,63,65,100
36,13.2090578,3.2716,1.0006291286568103,1.18,63,64,100
37,13.5472991,3.2684,1.00157678965626,1.18,63,64,100
38,13.8467733,3.2828,1.0018709073900842,1.153061224489796,62,63.26530612244898,100
39,14.157224300000001,3.3008,1.0027675276752768,1.1326530612244898,64,63.26530612244898,100
40,14.475590700000001,3.3052,1.000919399325774,1.1224489795918366,64,62.244897959183675,100
41,14.817407200000002,3.3124,1.0009143553794575,1.15,62,63,100
42,15.125632400000002,3.3104,1.0012210012210012,1.16,62,62,100
43,15.429799100000002,3.34,1.001492537313433,1.16,62,62,100
44,15.765628000000001,3.3348,1.002097692538208,1.1326530612244898,63,61.224489795918366,100
45,16.087737100000002,3.3376,1.0023923444976077,1.1224489795918366,62,60.204081632653065,100
46,16.4062573,3.3468,1.0023760023760024,1.1224489795918366,62,60.204081632653065,100
47,16.7303776,3.3384,1.0005977286312013,1.13,63,61,100
48,17.0778107,3.3616,1.001762632197415,1.13,63,61,100
49,17.4123482,3.3724,1.002040221509764,1.14,65,60,100
50,17.7123327,3.3856,1.0011547344110854,1.12,63,60,100
51,18.013246900000002,3.3856,1.002309468822171,1.09,60,59,100
52,18.338085300000003,3.3796,1.0020295737895042,1.09,63,59,100
53,18.661315600000002,3.3924,1.0008618213157139,1.09,62,59,100
54,18.9735313,3.4036,1.0017098888572242,1.09,62,59,100
55,19.282027300000003,3.4128,1.001132502831257,1.09,64,59,100
56,19.6165589,3.4264,1.0008412787436904,1.08,63,57.99999999999999,100
57,19.931702100000003,3.4308,1.0011182555213867,1.088235294117647,63,58.82352941176471,100
58,20.253504300000003,3.4632,1.0019136139967195,1.088235294117647,62,58.82352941176471,100
59,20.586203300000005,3.4668,1.001363512407963,1.107843137254902,63,58.82352941176471,100
60,20.898653500000005,3.466,1.001637107776262,1.0980392156862746,61,57.84313725490197,100
61,21.231843600000005,3.4556,1.0024732069249793,1.107843137254902,62,58.82352941176471,100
62,21.556095400000004,3.4692,1.001905799074326,1.107843137254902,61,58.82352941176471,100
63,21.869441000000005,3.4772,1.0013539128080151,1.07,62,56.99999999999999,100
64,22.225897200000006,3.504,1.0021276595744681,1.07,62,56.99999999999999,100
65,22.544321300000007,3.478,1.001894451962111,1.06,62,57.99999999999999,100
66,22.853035000000006,3.4756,1.0018975332068312,1.07,63,56.99999999999999,100
67,23.179964100000007,3.4728,1,1.07,63,56.99999999999999,100
68,23.486337700000007,3.4792,1.000811249323959,1.07,62,56.99999999999999,100
69,23.818472200000006,3.4884,1.000806234883096,1.0980392156862746,62,57.84313725490197,100
70,24.127607200000007,3.5028,1.001330849081714,1.0980392156862746,63,57.84313725490197,100
71,24.454575200000008,3.5124,1.0013224014810898,1.0980392156862746,61,57.84313725490197,100
72,24.79173310000001,3.5484,1.001549987083441,1.0588235294117647,63,55.88235294117647,100
73,25.12282920000001,3.542,1.0010376134889754,1.088235294117647,61,56.86274509803921,100
74,25.43564120000001,3.5684,1.0015302218821729,1.088235294117647,62,56.86274509803921,100
75,25.75298510000001,3.5536,1.0005149330587024,1.0686274509803921,64,56.86274509803921,100
76,26.085558500000012,3.5744,1.0015243902439024,1.06,61,56.00000000000001,100
77,26.410623100000013,3.5872,1.001008064516129,1.06,61,56.00000000000001,100
78,26.752375100000013,3.5924,1.001507159005275,1.05,60,55.00000000000001,100
79,27.06711310000001,3.6056,1.0022421524663676,1.06,62,56.00000000000001,100
80,27.38738240000001,3.5892,1.0007550969041028,1.06,62,56.00000000000001,100
81,27.72659250000001,3.5824,1.0007583417593529,1.06,64,56.00000000000001,100
82,28.06045690000001,3.598,1.0012515644555695,1.088235294117647,62,56.86274509803921,100
83,28.39409520000001,3.6188,1.0024709661477638,1.088235294117647,62,56.86274509803921,100
84,28.71853700000001,3.6336,1.0019588638589618,1.0588235294117647,61,55.88235294117647,100
85,29.05358600000001,3.6448,1.0017023346303502,1.0784313725490196,61,55.88235294117647,100
86,29.37185500000001,3.6576,1.0033783783783783,1.0784313725490196,61,55.88235294117647,100
87,29.71132230000001,3.69,1.0016568047337278,1.0784313725490196,63,55.88235294117647,100
88,30.03224800000001,3.7036,1.0014087814040855,1.05,61,55.00000000000001,100
89,30.48822810000001,3.7168,1.0034948741845293,1.05,61,55.00000000000001,100
90,30.833348700000013,3.7244,1.0018557179308745,1.05,62,55.00000000000001,100
91,31.184431100000012,3.732,1.002309468822171,1.05,62,55.00000000000001,100
92,31.515697600000014,3.7368,1.0011515430677107,1.05,60,55.00000000000001,100
93,31.850668200000012,3.7592,1.001819008640291,1.05,61,55.00000000000001,100
94,32.23137660000001,3.782,1.004040404040404,1.0784313725490196,60,55.88235294117647,100
95,32.57734640000001,3.808,1.0017699115044247,1.0686274509803921,63,56.86274509803921,100
96,32.89182540000001,3.8124,1.0013242109909513,1.0784313725490196,62,55.88235294117647,100
97,33.25524830000001,3.8216,1.0004391743522179,1.0784313725490196,61,55.88235294117647,100
98,33.60000620000001,3.8124,1.0004414036636504,1.0588235294117647,60,55.88235294117647,100
99,33.94053610000001,3.8244,1.0015347511510633,1.0784313725490196,60,55.88235294117647,100
100,34.27814100000001,3.834,1.001526717557252,1.0686274509803921,62,54.90196078431373,100
101,34.640913800000014,3.8784,1.0010647359454856,1.02,61,54,100
102,34.966021900000015,3.9088,1.0023051131601006,1.04,60,54,100
103,35.342264000000014,3.8956,1.0016881198565097,1.04,62,54,100
104,35.723507900000016,3.9108,1.0012560184216035,1.04,62,54,100
105,36.104735900000016,3.9368,1.0014456836018175,1.04,61,54,100
106,36.455068800000014,3.9644,1.0024434941967013,1.04,62,54,100
107,36.813399900000014,3.9696,1.0028432168968318,1.04,62,54,100
108,37.17020320000002,3.9564,1.0018401144960132,1.04,62,54,100
109,37.51113220000002,3.9756,1.0030370520348248,1.04,60,54,100
110,37.85322320000002,3.9824,1.0034301856335754,1.04,62,54,100
111,38.186305000000026,3.9888,1.0036202735317779,1.03,61,55.00000000000001,100
112,38.544226200000026,3.98,1.0022222222222221,1.04,60,54,100
113,38.90728320000002,3.9904,1.002210610932476,1.0588235294117647,61,55.88235294117647,100
114,39.25022330000002,4.0136,1.0033770361541519,1.0686274509803921,61,54.90196078431373,100
115,39.60523430000002,4.0328,1.0025580480125935,1.0686274509803921,63,54.90196078431373,100
116,39.96445000000002,4.0484,1.003710212849053,1.0686274509803921,61,54.90196078431373,100
117,40.33738210000002,4.0668,1.0036771821172827,1.0490196078431373,59,54.90196078431373,100
118,40.76537010000002,4.0764,1.0030822577538046,1.0686274509803921,61,54.90196078431373,100
119,41.17609780000002,4.1092,1.0034136165370757,1.0686274509803921,60,54.90196078431373,100
120,41.63530160000002,4.1056,1.0020896656534954,1.0686274509803921,63,54.90196078431373,100
121,42.11034430000002,4.1128,1.0013252555850056,1.0686274509803921,60,54.90196078431373,100
122,42.66139310000002,4.1032,1.001331304678585,1.0686274509803921,60,54.90196078431373,100
123,43.39122260000002,4.1092,1.0017068082685379,1.0392156862745099,63,53.92156862745098,100
124,43.87902460000002,4.1404,1.0013081666978134,1.0588235294117647,61,53.92156862745098,100
125,44.324754500000026,4.112,1.0005681818181817,1.0588235294117647,61,53.92156862745098,100
126,44.789822900000026,4.1604,1.0014812071838548,1.03,61,53,100
127,45.20100920000002,4.2164,1.0012633098718642,1.03,61,53,100
128,45.619644200000025,4.2304,1.0010760401721663,1.03,60,53,100
129,46.049646000000024,4.2488,1.0005336179295625,1.03,60,53,100
130,46.41106060000003,4.2644,1,1.03,61,53,100
131,46.793111100000026,4.2912,1.000349162011173,1.02,60,54,100
132,47.158707900000024,4.3044,1.0005207429265752,1.03,60,53,100
133,47.52060840000002,4.3128,1.0008647526807333,1.03,58,53,100
134,47.88791020000002,4.3112,1.0001730702665281,1.03,61,53,100
135,48.24201780000002,4.3216,1.0008614748449345,1.03,60,53,100
136,48.60816430000002,4.2892,1.0003494670627293,1.03,60,53,100
137,48.98000560000002,4.3144,1.0005184929139301,1.03,60,53,100
138,49.39466330000002,4.326,1.000859845227859,1.0588235294117647,60,53.92156862745098,100
139,49.80986610000002,4.3388,1.0011971951428082,1.0588235294117647,60,53.92156862745098,100
140,50.268309700000025,4.3592,1.0003390979993219,1.0588235294117647,60,53.92156862745098,100
141,50.70043650000002,4.3648,1.0006765899864682,1.0588235294117647,60,53.92156862745098,100
142,51.122817400000024,4.3288,1.0010305736860186,1.0392156862745099,61,53.92156862745098,100
143,51.46802290000002,4.342,1.0006831767719897,1.0588235294117647,61,53.92156862745098,100
144,51.818289900000025,4.3448,1.0013647219379052,1.0588235294117647,59,53.92156862745098,100
145,52.157231700000025,4.3308,1.0012013042732109,1.0588235294117647,60,53.92156862745098,100
146,52.525006000000026,4.358,1.0005089058524173,1.0588235294117647,59,53.92156862745098,100
147,52.875677100000026,4.3344,1,1.0392156862745099,59,53.92156862745098,100
148,53.220776300000026,4.3348,1.0003426417680314,1.0588235294117647,60,53.92156862745098,100
149,53.56504990000003,4.2936,1.0005231949773281,1.0588235294117647,59,53.92156862745098,100
150,53.92026320000003,4.2868,1.0008745845723281,1.0588235294117647,59,53.92156862745098,100
151,54.28865530000003,4.2576,1,1.03,58,53,100
152,54.65241390000003,4.282,1.000701139351446,1.03,60,53,100
153,55.01653090000003,4.3048,1.0003471017007983,1.03,59,53,100
154,55.359914700000026,4.264,1.0001766784452297,1.03,60,53,100
155,55.70161330000003,4.2764,1.0003514320857494,1.02,58,52,100
156,56.058084200000025,4.2928,1.001046755059316,1.03,58,53,100
157,56.408545600000025,4.2768,1.0008784258608574,1.03,58,53,100
158,56.76503220000002,4.2964,1.0017418568193694,1.03,59,53,100
159,57.12524400000002,4.272,1.0012323943661972,1.03,59,53,100
160,57.485374300000025,4.286,1.0010498687664042,1.03,59,53,100
161,57.85077100000002,4.2952,1.0010456605088882,1.02,59,54,100
162,58.25779920000002,4.3536,1.0013596193065941,1.03,58,53,100
163,58.61701920000002,4.3592,1.0010172939979654,1.0588235294117647,59,53.92156862745098,100
164,58.97108420000002,4.4256,1.0009894459102902,1.0490196078431373,62,52.94117647058824,100
165,59.35417650000002,4.4404,1.0006556302245533,1.0490196078431373,61,54.90196078431373,100
166,59.70478070000002,4.4428,1.0009824791223187,1.0588235294117647,58,53.92156862745098,100
167,60.084395300000025,4.5104,1.0004780114722753,1.0490196078431373,58,52.94117647058824,100
168,60.462912100000025,4.5012,1.000479769710539,1.0490196078431373,59,52.94117647058824,100
169,60.838400400000026,4.5048,1.0006387735547748,1.0490196078431373,59,52.94117647058824,100
170,61.196094100000025,4.5568,1.0014080100125156,1.0490196078431373,59,52.94117647058824,100
171,61.60555290000003,4.5548,1.0014091122592768,1.0490196078431373,58,52.94117647058824,100
172,61.96911730000003,4.5568,1.001720901126408,1.0392156862745099,59,51.9607843137255,100
173,62.329067200000026,4.5708,1.0018671230745293,1.0490196078431373,58,52.94117647058824,100
174,62.751694300000025,4.5844,1.003869370066553,1.0490196078431373,59,52.94117647058824,100
175,63.10966400000002,4.5664,1.001714463840399,1.0490196078431373,59,52.94117647058824,100
176,63.49551540000002,4.5828,1.002168189561716,1.01,59,51,100
177,63.895582500000025,4.5432,1.0012582573136206,1.02,59,52,100
178,64.27093030000002,4.5508,1.0025090167790498,1.02,60,52,100
179,64.67122950000002,4.56,1.001875,1.02,60,52,100
180,65.04305780000003,4.5632,1.002652933832709,1.01,59,51,100
181,65.41096550000003,4.5372,1.0023648116033423,1.02,61,52,100
182,65.77528680000003,4.5476,1.0012560841576386,1.02,59,52,100
183,66.17140270000003,4.5572,1.0007821054278117,1.02,58,52,100
184,66.61007250000003,4.5864,1.001082585833591,1.02,60,52,100
185,67.07638190000003,4.6096,1.0006131207847946,1.02,59,52,100
186,67.55883340000003,4.6464,1.0015114873035067,1.02,58,52,100
187,68.03619180000003,4.6664,1.0009000900090008,1.02,58,52,100
188,68.50712460000003,4.6428,1.0010594823671863,1.0490196078431373,59,52.94117647058824,100
189,69.02821030000003,4.6312,1.0015202189115233,1.0490196078431373,59,52.94117647058824,100
190,69.51481210000003,4.6356,1.0015176809834572,1.0490196078431373,59,52.94117647058824,100
191,70.01089960000003,4.6376,1.0019714892326357,1.0490196078431373,59,52.94117647058824,100
192,70.46459890000003,4.6096,1.0024524831391783,1.0294117647058822,58,52.94117647058824,100
193,70.86715180000003,4.6116,1.0030632562413846,1.0490196078431373,59,52.94117647058824,100
194,71.29117840000004,4.634,1.0034927866362946,1.0490196078431373,58,52.94117647058824,100
195,71.69276320000003,4.6416,1.0031798909751666,1.0490196078431373,58,52.94117647058824,100
196,72.08017840000004,4.6904,1.0023788284269997,1.0490196078431373,58,52.94117647058824,100
197,72.45628810000004,4.72,1.0020588235294117,1.0490196078431373,60,52.94117647058824,100
198,72.85081580000003,4.7028,1.0019239307384935,1.0490196078431373,60,52.94117647058824,100
199,73.25228840000004,4.7384,1.0016067776803974,1.0490196078431373,60,52.94117647058824,100
200,73.64093140000004,4.7308,1.0027830672330453,1.0490196078431373,58,52.94117647058824,100
201,74.02945430000004,4.7972,1.0022880022880023,1.0294117647058822,59,52.94117647058824,100
202,74.49412830000004,4.776,1.0031700288184437,1.02,58,52,100
203,74.93136080000004,4.7924,1.002291935252829,1.0490196078431373,58,52.94117647058824,100
204,75.38620900000004,4.7648,1.0028935185185186,1.02,59,52,100
205,75.86026680000003,4.76,1.0027536231884058,1.0294117647058822,58,52.94117647058824,100
206,76.32114660000003,4.7864,1.0022968705139248,1.02,58,52,100
207,76.78579750000003,4.784,1.0034482758620689,1.0490196078431373,59,52.94117647058824,100
208,77.31427940000003,4.8348,1.0045153097220263,1.02,59,52,100
209,77.81875080000003,4.8332,1.0049414090074826,1.0490196078431373,58,52.94117647058824,100
210,78.28008030000004,4.9372,1.0061282854419176,1.02,58,52,100
211,78.72706650000003,4.9208,1.0073952341824157,1.0490196078431373,58,52.94117647058824,100
212,79.12636810000004,4.9728,1.008880516684607,1.02,60,52,100
213,79.55725420000003,4.9344,1.0100872410032715,1.0490196078431373,58,52.94117647058824,100
214,80.00015610000003,4.9596,1.009866198134883,1.02,58,52,100
