generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0574195,2,0,0,78,NaN,0
1,0.14302189999999998,2,0,4.5,76,100,40
2,0.1812488,2.04,1,4.44,84,98,39.02439024390244
3,0.2137613,2.04,1,3.7285714285714286,77,74.28571428571429,24.46043165467626
4,0.25200809999999996,2.04,1,3.473684210526316,75,65.78947368421053,17.391304347826086
5,0.28489079999999994,2.06,1,3.375,71,62.5,14.285714285714285
6,0.31684009999999996,2.08,1,3.313953488372093,70,60.46511627906976,12.244897959183673
7,0.34964819999999996,2.13,1,3.244186046511628,69,58.139534883720934,9.79020979020979
8,0.3837965,2.12,1,3.2045454545454546,68,56.81818181818182,8.333333333333332
9,0.416761,2.1,1,3.1956521739130435,67,56.52173913043478,8
10,0.4466428,2.09,1,3.1666666666666665,62,55.55555555555556,6.896551724137931
11,0.4780043,2.05,1,3.130434782608696,64,54.347826086956516,5.47945205479452
12,0.509897,2.06,1,3.1595744680851063,64,55.319148936170215,6.622516556291391
13,0.5404704,2.09,1,3.095744680851064,57,53.191489361702125,4.081632653061225
14,0.5737984,2.15,1,2.595744680851064,64,50,47
15,0.6061158000000001,2.1,1,3.1666666666666665,62,44.79166666666667,31.57894736842105
16,0.6393619000000001,2.1,1.1,2.574468085106383,64,51.06382978723404,42.57425742574257
17,0.6742917000000002,2.12,1.0833333333333333,3.0729166666666665,86,87.5,8.904109589041095
18,0.7074786000000002,2.11,1.0909090909090908,3.1122448979591835,89,83.6734693877551,13.245033112582782
19,0.7406917000000002,2.1,1.1,3.15625,83,82.29166666666666,15.333333333333332
20,0.7757080000000002,2.11,1.1818181818181819,3.1875,84,81.25,18.421052631578945
21,0.8155298000000002,2.11,1.0909090909090908,3.2551020408163267,78,78.57142857142857,18.9873417721519
22,0.8511620000000002,2.1,1.3,3.2708333333333335,73,78.125,21.794871794871796
23,0.8879979000000002,2.1,1.4,2.6666666666666665,67,52.083333333333336,47.368421052631575
24,0.9228106000000003,2.13,1.3846153846153846,2.377551020408163,86,82.6530612244898,33.05084745762712
25,0.9569466000000002,2.1,1.3,2.7448979591836733,79,57.14285714285714,45.16129032258064
26,0.9911770000000002,2.12,1.25,2.7448979591836733,82,56.12244897959183,45.96774193548387
27,1.0218120000000002,2.12,1.25,3.2653061224489797,67,72.44897959183673,29.559748427672954
28,1.0566987,2.18,1.0555555555555556,4.3979591836734695,64,28.57142857142857,36.76470588235294
29,1.091749,2.2,1.05,3.32,67,71,29.6969696969697
30,1.1305450000000001,2.21,1.0952380952380953,4.58,62,28.999999999999996,35.77981651376147
31,1.1652047,2.26,1.1538461538461537,3.37,64,70,31.547619047619047
32,1.1996508000000001,2.23,1.3043478260869565,3.357142857142857,70,69.38775510204081,31.70731707317073
33,1.2336682,2.25,1.32,3.4081632653061225,68,68.36734693877551,31.92771084337349
34,1.2712224,2.25,1.28,2.663265306122449,66,59.183673469387756,54.400000000000006
35,1.3069461,2.27,1.4444444444444444,3.41,72,68,32.94117647058823
36,1.3419496,2.31,1.4516129032258065,1.87,69,56.99999999999999,44.827586206896555
37,1.3769844,2.3,1.3333333333333333,1.89,70,56.99999999999999,48.31460674157304
38,1.4126754,2.3,1.4,1.8673469387755102,73,56.12244897959183,48.23529411764706
39,1.4479891,2.33,1.4545454545454546,1.9285714285714286,73,56.12244897959183,44.9438202247191
40,1.4805351,2.29,1.5172413793103448,3.2755102040816326,68,65.3061224489796,35
41,1.514954,2.36,1.3333333333333333,3.33,67,65,34.93975903614458
42,1.5481823,2.36,1.3055555555555556,3.32,63,63,35.75757575757576
43,1.5803691,2.32,1.34375,3.33,60,64,35.54216867469879
44,1.6160101,2.26,1.3076923076923077,3.13265306122449,60,59.183673469387756,29.518072289156628
45,1.6500493,2.18,1.3333333333333333,3.183673469387755,66,59.183673469387756,28.57142857142857
46,1.6820981000000002,2.14,1.3571428571428572,2.122448979591837,71,66.3265306122449,50.427350427350426
47,1.7130442000000001,2.21,1.4285714285714286,2.1,63,67,48.717948717948715
48,1.7442782000000001,2.22,1.3181818181818181,4.23,63,40,32.19512195121951
49,1.7757009000000001,2.22,1.2272727272727273,2.08,65,66,50
50,1.8064337000000001,2.18,1.2222222222222223,3.61,66,40,32.35294117647059
51,1.8382267,2.17,1.1176470588235294,4.2,68,40,32.01970443349754
52,1.8702133,2.2,1.15,4.26,62,40,31.55339805825243
53,1.9016635000000002,2.2,1.1,4.36,59,40,31.753554502369667
54,1.9335007000000002,2.16,1.125,3.84,65,41,31.16279069767442
55,1.9667683000000002,2.22,1.1363636363636365,4.5,66,41,30.73394495412844
56,1.9991558000000003,2.22,1.0454545454545454,4.66,62,41,30.08849557522124
57,2.0345202000000002,2.19,1,4.666666666666667,59,41.17647058823529,30.303030303030305
58,2.0691252,2.12,1,2.5,57,65.68627450980392,48.41269841269841
59,2.1025852,2.14,1,1.8235294117647058,58,50,50
60,2.1370412,2.14,1,2.4901960784313726,55,65.68627450980392,50
61,2.1728222,2.18,1,2.2450980392156863,59,64.70588235294117,50
62,2.2085848,2.14,1,2.4607843137254903,60,64.70588235294117,50.806451612903224
63,2.2470634,2.16,1,2.43,62,65,50.42016806722689
64,2.2793503,2.22,1,2.17,59,65,53.71900826446281
65,2.3109650999999998,2.17,1,2.43,65,64,52.94117647058824
