generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0218044,2,0,0,77,NaN,0
1,0.0458435,2.02,1,4,76,50,50
2,0.0706744,2.02,1,7.84,76,50,25.510204081632654
3,0.0997189,2.02,1,5.271428571428571,78,74.28571428571429,36.26943005181347
4,0.1269152,2.04,1,3.526315789473684,66,34.21052631578947,21.09375
5,0.15531440000000002,2.03,1,4.575,68,40,43.575418994413404
6,0.18305310000000002,2.03,1,3.313953488372093,70,39.53488372093023,25.36231884057971
7,0.20942680000000002,2.05,1,3.13953488372093,66,33.72093023255814,21.875
8,0.23778480000000002,2.02,1,2.9545454545454546,63,36.36363636363637,19.35483870967742
9,0.2645256,2.03,1,2.869565217391304,62,36.95652173913043,18.253968253968253
10,0.2915131,2.03,1,4.0777777777777775,64,57.77777777777777,25.668449197860966
11,0.3185872,2.06,1,4.010869565217392,63,59.78260869565217,25.396825396825395
12,0.3488308,2.03,1,4.840425531914893,63,55.319148936170215,29.08366533864542
13,0.3763428,2.03,1,4.9361702127659575,67,58.51063829787234,29.01960784313726
14,0.4051374,2.05,1.2,2.74468085106383,61,34.04255319148936,11.76470588235294
15,0.4363034,2.1,1.4,5.65625,62,56.25,26.56826568265683
16,0.4659858,2.13,1.3076923076923077,3.8297872340425534,59,67.02127659574468,27.027027027027028
17,0.4943169,2.2,1.35,4.09375,74,76.04166666666666,26.21359223300971
18,0.5242359,2.17,1.411764705882353,4.183673469387755,72,75.51020408163265,28.37209302325581
19,0.5521901,2.17,1.2352941176470589,3.9270833333333335,73,60.416666666666664,29.84293193717277
20,0.5802477,2.28,1.1428571428571428,4.083333333333333,78,73.95833333333334,29.756097560975608
21,0.6102759,2.34,1.1470588235294117,4.26530612244898,75,73.46938775510205,30.73394495412844
22,0.6417849999999999,2.42,1.1904761904761905,4.083333333333333,72,72.91666666666666,31.21951219512195
23,0.6734220999999999,2.44,1.1818181818181819,3.2916666666666665,69,60.416666666666664,39.08045977011494
24,0.7054501,2.52,1.3269230769230769,3.295918367346939,70,60.204081632653065,36.93181818181818
25,0.7345134999999999,2.53,1.2452830188679245,3.2653061224489797,64,60.204081632653065,36.57142857142857
26,0.7637681999999999,2.62,1.3225806451612903,3.2346938775510203,70,60.204081632653065,36.206896551724135
27,0.7919722999999999,2.74,1.337837837837838,3.2346938775510203,69,59.183673469387756,34.68208092485549
28,0.8214566999999998,2.67,1.3582089552238805,3.2448979591836733,68,59.183673469387756,34.104046242774565
29,0.8544777999999998,2.73,1.3150684931506849,3.25,67,59,31.428571428571427
30,0.8858163999999998,2.78,1.4743589743589745,3.19,72,57.99999999999999,31.79190751445087
31,0.9152813999999998,2.77,1.6493506493506493,3.18,63,57.99999999999999,30.813953488372093
32,0.9474209999999998,2.85,1.6588235294117648,3.183673469387755,67,57.14285714285714,29.761904761904763
33,0.9782136999999999,2.88,1.6363636363636365,3.204081632653061,67,57.14285714285714,28.57142857142857
34,1.0086890999999998,2.9,1.6111111111111112,3.163265306122449,64,56.12244897959183,27.10843373493976
35,1.0384832999999998,2.89,1.651685393258427,3.19,59,56.99999999999999,26.47058823529412
36,1.0684136999999998,2.9,1.6444444444444444,3.23,61,56.99999999999999,25.730994152046783
37,1.1004754999999997,2.85,1.7176470588235293,3.2,67,56.99999999999999,26.900584795321635
38,1.1334145999999996,2.84,1.7142857142857142,3.163265306122449,61,55.10204081632652,24.390243902439025
39,1.1659997999999996,2.79,1.7721518987341771,3.142857142857143,63,56.12244897959183,25
40,1.1943665999999995,2.81,1.7037037037037037,2.5714285714285716,61,50,45.038167938931295
41,1.2240196999999995,2.85,1.588235294117647,3.14,58,56.99999999999999,24.096385542168676
42,1.2536906999999995,2.82,1.5609756097560976,3.18,58,56.00000000000001,24.404761904761905
43,1.2857255999999995,2.84,1.6904761904761905,3.14,60,56.00000000000001,22.424242424242426
44,1.3162297999999995,2.81,1.7037037037037037,4.357142857142857,63,52.04081632653062,27.42616033755274
45,1.3461355999999995,2.8,1.6625,2.673469387755102,66,65.3061224489796,48.226950354609926
46,1.3753479999999996,2.77,1.6103896103896105,4.448979591836735,60,52.04081632653062,27.385892116182575
47,1.4060979999999996,2.78,1.6153846153846154,3.15,63,55.00000000000001,21.951219512195124
48,1.4398666999999996,2.75,1.6666666666666667,3.13,59,55.00000000000001,21.472392638036812
49,1.4715802999999996,2.8,1.6125,3.13,59,55.00000000000001,21.472392638036812
50,1.5041646999999996,2.83,1.7469879518072289,4.93,61,51,26.93877551020408
51,1.5348176999999996,2.85,1.7294117647058824,3.11,60,55.00000000000001,20.98765432098765
52,1.5651162999999997,2.87,1.735632183908046,3.11,59,55.00000000000001,20.98765432098765
53,1.5942927999999996,2.89,1.6741573033707866,3.1,57,54,19.875776397515526
54,1.6252103999999996,2.92,1.6195652173913044,3.12,62,55.00000000000001,20.245398773006134
55,1.6578338999999995,2.92,1.576086956521739,3.09,60,54,18.75
56,1.6887696999999995,2.93,1.5913978494623655,3.77,67,82,22.22222222222222
57,1.7174284999999996,2.89,1.7191011235955056,3.911764705882353,70,80.3921568627451,23.5
58,1.7466589999999995,2.88,1.6704545454545454,3.8627450980392157,71,80.3921568627451,22.84263959390863
59,1.7778117999999996,2.91,1.6373626373626373,3.9313725490196076,73,80.3921568627451,24.257425742574256
60,1.8092882999999995,2.73,1.6027397260273972,3.980392156862745,72,77.45098039215686,25.12315270935961
61,1.8416165999999996,2.7,1.6857142857142857,3.950980392156863,68,78.43137254901961,24.752475247524753
62,1.8744411999999997,2.55,1.6727272727272726,3.911764705882353,72,78.43137254901961,25
63,1.9061149999999998,2.52,1.5769230769230769,4.03,67,78,25.247524752475247
64,1.9428479999999997,2.48,1.6666666666666667,3.93,63,78,24.873096446700508
65,1.9809816999999996,2.42,1.6666666666666667,4,63,76,26
66,2.0199633999999995,2.37,1.8108108108108107,4.04,60,77,26.108374384236456
67,2.0562828999999994,2.34,1.8823529411764706,4.05,60,76,27.093596059113302
68,2.0926056999999996,2.3,2.066666666666667,4,61,76,26
69,2.1335132999999997,2.27,1.8148148148148149,4.068627450980392,59,74.50980392156863,26.570048309178745
70,2.1752078999999997,2.32,1.5,4.088235294117647,62,74.50980392156863,27.27272727272727
71,2.2169253999999996,2.33,1.2727272727272727,4.088235294117647,60,74.50980392156863,27.751196172248804
72,2.2585797999999997,2.36,1.2222222222222223,4.176470588235294,61,74.50980392156863,27.570093457943923
73,2.3018178,2.41,1.2439024390243902,4.03921568627451,60,75.49019607843137,27.536231884057973
74,2.3446217999999996,2.43,1.2790697674418605,4.127450980392157,62,72.54901960784314,28.90995260663507
75,2.3897235999999995,2.5,1.32,4.098039215686274,62,73.52941176470588,27.751196172248804
76,2.4486567999999993,2.51,1.4705882352941178,4.16,63,72,28.846153846153843
77,2.494039699999999,2.52,1.6538461538461537,4.18,65,73,27.751196172248804
78,2.535647299999999,2.46,1.5,4.1,63,74,28.640776699029125
79,2.579101399999999,2.46,1.565217391304348,4.16,62,73,29.1866028708134
80,2.623330099999999,2.45,1.511111111111111,4.17,64,72,29.1866028708134
81,2.661256699999999,2.49,1.469387755102041,4.36,78,62,33.64485981308411
82,2.699904399999999,2.49,1.489795918367347,4.421568627450981,64,61.76470588235294,33.93665158371041
83,2.747688299999999,2.61,1.4262295081967213,3.8333333333333335,62,50,38.37837837837838
84,2.790324599999999,2.63,1.4444444444444444,4.196078431372549,61,71.56862745098039,29.767441860465116
85,2.834071899999999,2.62,1.4838709677419355,4.235294117647059,62,71.56862745098039,29.953917050691242
86,2.874862099999999,2.65,1.5076923076923077,4.303921568627451,61,71.56862745098039,29.09090909090909
87,2.9162466999999994,2.69,1.5507246376811594,4.294117647058823,59,69.6078431372549,30.136986301369863
88,2.9577778999999995,2.75,1.52,4.23,62,70,30.660377358490564
89,3.0031578999999997,2.7,1.457142857142857,4.18,62,70,30.14354066985646
90,3.0452958999999997,2.78,1.5384615384615385,3.95,56,69,30.51643192488263
91,3.0882328999999995,2.85,1.4470588235294117,4.19,59,70,30.952380952380953
92,3.1246199999999993,2.83,1.4096385542168675,3.94,58,70,30.18867924528302
