generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0469446,2,0,0,87,NaN,0
1,0.1028675,2,0,8,73,50,25
2,0.16476269999999998,2,0,8,68,50,25
3,0.2257523,2,0,4,65,50,50
4,0.2814854,2,0,7.394736842105263,57,50,25.333333333333336
5,0.3200637,2,0,3.7375,53,50,26.174496644295303
6,0.35813860000000003,2,0,3.6744186046511627,52,50,22.07792207792208
7,0.3955771,2,0,3.7325581395348837,50,50,45.22292993630573
8,0.4296005,2,0,3.4886363636363638,52,50,16.666666666666664
9,0.4664418,2,0,5.858695652173913,50,50,28.08988764044944
10,0.5027818000000001,2,0,3.388888888888889,51,50,16.666666666666664
11,0.5365811,2,0,3.652173913043478,50,50,44.57831325301205
12,0.569014,2,0,1.9574468085106382,50,50,47.77777777777778
13,0.5996939,2,0,5.531914893617022,50,50,28.68217054263566
14,0.6306095,2,0,5.24468085106383,50,50,29.38775510204082
15,0.663517,2,0,1.8854166666666667,50,50,50.56179775280899
16,0.692156,2,0,3.521276595744681,50,50,45.1219512195122
17,0.7225174,2,0,3.2604166666666665,54,50,21.29032258064516
18,0.751983,2,0,3.2448979591836733,54,50,22.151898734177212
19,0.782137,2,0,3.21875,55,50,20.915032679738562
20,0.8122899,2,0,3.2083333333333335,56,50,18.954248366013072
21,0.8449023,2,0,3.2244897959183674,59,50,18.471337579617835
22,0.8746131,2,0,3.2083333333333335,57,50,18.30065359477124
23,0.9049094000000001,2,0,3.1875,60,50,16.447368421052634
24,0.9353353000000001,2,0,3.183673469387755,57,50,16.7741935483871
25,0.9658321000000001,2,0,3.183673469387755,56,50,15.483870967741936
26,0.9967212000000001,2,0,3.142857142857143,60,50,14.37908496732026
27,1.0255878,2,0,3.142857142857143,54,50,14.37908496732026
28,1.0548475000000002,2,0,3.1122448979591835,55,50,13.815789473684212
29,1.0832475000000001,2,0,3.16,57,50,13.375796178343949
30,1.1093140000000001,2,0,3.18,58,50,12.658227848101266
31,1.1369807,2,0,3.2,57,50,12.578616352201259
32,1.1629823000000001,2,0,3.1122448979591835,61,50,11.842105263157894
33,1.1900709,2,0,3.13265306122449,60,50,12.418300653594772
34,1.2158119,2,0,3.122448979591837,56,50,10.526315789473683
35,1.2407701,2,0,3.18,54,50,12.025316455696203
36,1.2669662,2,0,3.09,56,50,11.03896103896104
37,1.2940494999999999,2,0,3.15,56,50,10.191082802547772
38,1.3203196999999998,2,0,3.0714285714285716,54,50,10.666666666666668
39,1.3450346999999998,2,0,3.1122448979591835,54,50,9.868421052631579
40,1.3706385999999997,2,0,3.0714285714285716,53,50,10.666666666666668
41,1.3962901999999997,2,0,3.16,54,50,9.554140127388536
42,1.4229488999999997,2,0,3.09,53,50,9.090909090909092
43,1.4493076999999996,2,0,3.09,53,50,9.090909090909092
44,1.4764345999999997,2,0,1.9489795918367347,50,50,50.526315789473685
45,1.5038108999999997,2,0,4.520408163265306,50,50,27.149321266968325
46,1.5292180999999998,2,0,3.0918367346938775,52,50,9.933774834437086
47,1.5582213999999999,2,0,3.09,52,50,10.38961038961039
48,1.5849588,2,0,3.11,51,50,9.67741935483871
49,1.6110946,2,0,3.11,51,50,9.67741935483871
50,1.6376401999999999,2,0,3.09,51,50,9.090909090909092
51,1.6645237999999998,2,0,3.07,52,50,8.49673202614379
52,1.6880182999999997,2,0,1.93,50,50,51.041666666666664
53,1.7133070999999997,2,0,3.05,51,50,9.210526315789473
54,1.7393276999999998,2,0,1.91,50,50,51.578947368421055
55,1.7653609999999997,2,0,1.89,50,50,52.12765957446809
56,1.7890042999999998,2,0,3.07,50,50,38.56209150326798
57,1.8139145999999997,2,0,3.0294117647058822,51,50,11.03896103896104
58,1.8384454999999997,2,0,3.0098039215686274,51,50,10.457516339869281
59,1.8636603999999997,2,0,3.0098039215686274,51,50,9.803921568627452
60,1.8904101999999996,2,0,3.0294117647058822,51,50,11.03896103896104
61,1.9153617999999997,2,0,3.0686274509803924,53,50,8.974358974358974
62,1.9434074999999997,2,0,3.049019607843137,52,50,10.32258064516129
63,1.9663216999999997,2,0,2.96,54,50,10.135135135135135
64,1.9893108999999998,2,0,2.96,53,50,8.783783783783784
65,2.0122720999999997,2,0,3.04,55,50,9.210526315789473
66,2.0368307,2,0,3,56,50,9.333333333333334
67,2.0607956,2,0,3.05,53,50,7.894736842105263
68,2.0857198,2,0,3.03,54,50,6.622516556291391
69,2.1108423000000003,2,0,3.0294117647058822,54,50,9.090909090909092
70,2.1351946,2,0,3.0098039215686274,53,50,8.49673202614379
71,2.1597695000000003,2,0,3.0294117647058822,53,50,9.090909090909092
72,2.1847658000000005,2,0,3.0098039215686274,51,50,7.18954248366013
73,2.2093072000000005,2,0,3.0686274509803924,53,50,8.333333333333332
74,2.2329893000000003,2,0,3.088235294117647,53,50,7.643312101910828
75,2.2580841000000005,2,0,3.0098039215686274,51,50,8.49673202614379
