generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.022515,2,0,0,83,NaN,0
1,0.050398399999999996,2,0,6,80,50,33.33333333333333
2,0.0828632,2,0,6,76,50,33.33333333333333
3,0.112618,2,0,6,68,50,33.33333333333333
4,0.1449831,2,0,3.5,87,100,50
5,0.1753056,2,0,3.4625,92,98.75,49.36708860759494
6,0.2044202,2,0,3.186046511627907,85,89.53488372093024,44.15584415584416
7,0.2307767,2,0,2.9767441860465116,78,82.55813953488372,39.436619718309856
8,0.2566487,2,0,2.8181818181818183,74,77.27272727272727,35.294117647058826
9,0.2812151,2,0,2.25,88,75,60
10,0.305109,2,0,2.2555555555555555,91,77.77777777777779,61.40350877192983
11,0.3297954,2,0,2.108695652173913,91,73.91304347826086,62.96296296296296
12,0.3540184,2,0,2.0319148936170213,85,72.3404255319149,64.15094339622641
13,0.3762997,2,0,1.925531914893617,74,70.2127659574468,66
14,0.3975125,2,0,1.872340425531915,67,69.14893617021278,67.0103092783505
15,0.4198517,2,0,2.2291666666666665,68,81.25,63.934426229508205
16,0.44292339999999997,2,0,1.7659574468085106,67,67.02127659574468,69.23076923076923
17,0.4658943,2,0,1.6979166666666667,64,65.625,70.78651685393258
18,0.48773089999999997,2,0,1.6428571428571428,65,63.26530612244898,71.26436781609196
19,0.5098899,2,0,1.6145833333333333,65,63.541666666666664,72.61904761904762
20,0.5321831,2,0,1.5833333333333333,69,62.5,73.17073170731707
21,0.5550173,2,0,1.5714285714285714,66,62.244897959183675,73.49397590361446
22,0.5770955000000001,2,0,1.8125,69,70.83333333333334,70.10309278350515
23,0.5995293,2,0,1.7604166666666667,70,69.79166666666666,71.27659574468085
24,0.6227528,2,0,1.7653061224489797,66,69.38775510204081,70.83333333333334
25,0.6447512,2,0,1.7142857142857142,70,68.36734693877551,72.04301075268818
26,0.6660659,2,0,1.663265306122449,65,67.3469387755102,73.33333333333333
27,0.6876618,2,0,1.6326530612244898,65,66.3265306122449,73.86363636363636
28,0.709435,2,0,1.6326530612244898,62,66.3265306122449,73.86363636363636
29,0.7321505,2,0,1.62,60,66,74.15730337078652
30,0.7542245000000001,2,0,1.62,61,66,74.15730337078652
31,0.7769974000000001,2,0,1.59,61,65,74.71264367816092
32,0.7982053,2,0,1.5510204081632653,59,64.28571428571429,75.90361445783132
33,0.8201342,2,0,1.5204081632653061,60,63.26530612244898,76.5432098765432
34,0.8433369000000001,2,0,3.2551020408163267,65,44.89795918367347,34.394904458598724
35,0.8671087000000001,2,0,1.37,68,56.99999999999999,79.16666666666666
36,0.8940928,2,0,1.55,64,63,75
37,0.9197308000000001,2,0,1.59,66,63,73.25581395348837
38,0.9448320000000001,2,0,1.5204081632653061,63,61.224489795918366,75
39,0.9714425000000001,2,0,1.4795918367346939,72,61.224489795918366,76.92307692307693
40,0.9961109000000001,2,0,3.316326530612245,59,44.89795918367347,34.375
41,1.0230517000000001,2,0,1.51,62,61,75.30864197530865
42,1.0507877,2,0,1.51,67,61,75.30864197530865
43,1.0765576000000001,2,0,1.51,60,61,75.30864197530865
44,1.1014555000000001,2,0,1.469387755102041,62,60.204081632653065,76.62337662337663
45,1.1258209000000001,2,0,3.326530612244898,61,45.91836734693878,34.161490683229815
46,1.1501796000000002,2,0,3.4489795918367347,64,45.91836734693878,34.13173652694611
47,1.1738741000000001,2,0,1.56,65,60,72.28915662650603
48,1.1963605000000002,2,0,1.56,62,60,72.28915662650603
49,1.2197346000000002,2,0,1.56,64,60,72.28915662650603
50,1.2440453000000002,2,0,3.44,63,46,34.11764705882353
51,1.2689829000000001,2,0,1.5,66,57.99999999999999,73.41772151898735
52,1.2948293000000002,2,0,1.5,64,57.99999999999999,73.41772151898735
53,1.3222758000000001,2,0,3.45,68,47,33.91812865497076
54,1.3494014,2,0,1.5,65,57.99999999999999,73.41772151898735
55,1.3756378,2,0,3.51,64,47,33.90804597701149
56,1.4012944,2,0,3.51,61,47,33.90804597701149
57,1.4265994,2,0,2.9019607843137254,63,46.07843137254902,48.4375
58,1.4502541,2,0,3.2549019607843137,65,46.07843137254902,40.853658536585364
59,1.4721425,2,0,1.6372549019607843,64,57.84313725490197,68.18181818181817
60,1.4946791,2,0,1.6372549019607843,64,57.84313725490197,68.18181818181817
61,1.5175349,2,0,1.6372549019607843,64,57.84313725490197,68.18181818181817
62,1.5413614,2,0,1.5980392156862746,63,57.84313725490197,69.76744186046511
63,1.5636361,2,0,3.19,62,47,41.139240506329116
64,1.5886502,2,0,1.58,60,56.99999999999999,69.87951807228916
65,1.6140265,2,0,1.55,58,56.00000000000001,70.37037037037037
66,1.6408294,2,0,1.52,64,56.00000000000001,70.88607594936708
67,1.6667689,2,0,2.87,67,48,47.199999999999996
68,1.6942011000000001,2,0,1.52,60,56.00000000000001,72.5
69,1.7199663,2,0,3.676470588235294,59,47.05882352941176,34.40860215053764
70,1.7488111,2,0,3.676470588235294,62,47.05882352941176,34.40860215053764
71,1.7762934,2,0,3.450980392156863,61,57.84313725490197,37.77777777777778
72,1.8038558999999998,2,0,3.4901960784313726,63,57.84313725490197,38.46153846153847
73,1.8304315999999998,2,0,3.372549019607843,68,55.88235294117647,38.857142857142854
74,1.8544456999999999,2,0,2.9607843137254903,63,47.05882352941176,47.368421052631575
75,1.8792845999999999,2,0,1.7156862745098038,62,55.88235294117647,65.21739130434783
76,1.9053646,2,0,1.59,63,55.00000000000001,68.67469879518072
77,1.929522,2,0,1.66,61,55.00000000000001,65.11627906976744
78,1.9523717999999999,2,0,3.46,63,48,39.53488372093023
79,1.9751344999999998,2,0,3.59,62,56.99999999999999,37.704918032786885
80,2.0010736999999996,2,0,2.85,62,48,46.774193548387096
81,2.0256830999999997,2,0,3.63,64,59,38.17204301075269
82,2.0520260999999995,2,0,3.5,71,54.90196078431373,38.67403314917127
83,2.0785845999999997,2,0,1.7156862745098038,61,55.88235294117647,63.73626373626373
84,2.1045475999999996,2,0,3.0294117647058822,68,47.05882352941176,45.65217391304348
85,2.1297046999999996,2,0,3.5,68,54.90196078431373,38.67403314917127
86,2.1533010999999997,2,0,3.6666666666666665,69,55.88235294117647,38.421052631578945
87,2.177691,2,0,3.7254901960784315,67,57.84313725490197,38.659793814432994
88,2.2007521999999997,2,0,3.54,70,54,38.547486033519554
89,2.2240627999999996,2,0,3.64,66,56.00000000000001,38.91891891891892
90,2.2484726999999998,2,0,3.58,71,56.00000000000001,39.010989010989015
91,2.2723942999999998,2,0,3.75,67,56.99999999999999,38.21989528795812
92,2.2966713,2,0,3.68,72,56.00000000000001,38.50267379679144
93,2.3203172999999997,2,0,3.7,65,56.00000000000001,38.297872340425535
94,2.3440958,2,0,3.7254901960784315,65,53.92156862745098,38.54166666666667
95,2.3685091999999996,2,0,3.7254901960784315,69,55.88235294117647,37.82383419689119
96,2.3926134999999995,2,0,3.8627450980392157,66,55.88235294117647,39
97,2.4172163999999996,2,0,3.803921568627451,66,55.88235294117647,38.07106598984771
98,2.4453114999999994,2,0,3.7058823529411766,65,53.92156862745098,38.7434554973822
99,2.4686491999999993,2,0,1.911764705882353,68,54.90196078431373,57.42574257425742
100,2.4910130999999995,2,0,3.784313725490196,62,55.88235294117647,38.775510204081634
101,2.5149090999999997,2,0,1.91,64,54,57.57575757575758
102,2.5384968,2,0,3.81,62,56.99999999999999,38.659793814432994
103,2.5628976,2,0,3.76,63,54,40
104,2.5882033,2,0,3.57,65,53,38.88888888888889
105,2.6143497,2,0,3.8,64,54,39.0625
106,2.640195,2,0,3.79,70,55.00000000000001,39.58333333333333
107,2.6658266999999998,2,0,3.77,71,55.00000000000001,39.26701570680628
108,2.6927752,2,0,3.79,71,55.00000000000001,38.54166666666667
109,2.719236,2,0,3.99,64,55.00000000000001,39.10891089108911
110,2.7445143,2,0,3.74,66,54,39.15343915343915
111,2.7680643000000003,2,0,3.73,65,53,39.361702127659576
112,2.7937659000000004,2,0,3.94,67,54,39.19597989949749
113,2.8207280000000003,2,0,3.8823529411764706,67,53.92156862745098,38.5
114,2.8463523000000004,2,0,3.9019607843137254,72,53.92156862745098,38.80597014925373
115,2.8725530000000004,2,0,3.8823529411764706,65,53.92156862745098,39
116,2.8995741,2,0,3.950980392156863,68,54.90196078431373,38.72549019607843
117,2.9266537,2,0,3.872549019607843,63,48.03921568627451,36.32286995515695
118,2.9538549,2,0,3.803921568627451,64,52.94117647058824,38.46153846153847
119,2.9806415,2,0,3.8137254901960786,66,52.94117647058824,39.285714285714285
120,3.0073327,2,0,3.980392156862745,68,54.90196078431373,39.51219512195122
121,3.0363341,2,0,3.9313725490196076,64,54.90196078431373,38.91625615763547
122,3.0635939,2,0,4.117647058823529,69,54.90196078431373,38.20754716981132
123,3.0925094,2,0,3.9901960784313726,70,52.94117647058824,38.53658536585366
124,3.1197418,2,0,3.803921568627451,66,51.9607843137255,39.48717948717949
125,3.1479926,2,0,4.03921568627451,66,54.90196078431373,38.94230769230769
126,3.1758444,2,0,4.07,70,55.00000000000001,38.83495145631068
127,3.2054231,2,0,4.09,68,55.00000000000001,38.164251207729464
128,3.2322504,2,0,4.06,68,55.00000000000001,38.53658536585366
129,3.257847,2,0,3.99,63,53,39.30348258706468
130,3.2851809,2,0,3.84,65,52,39.37823834196891
131,3.3127587,2,0,3.96,70,53,38.19095477386934
132,3.3396173,2,0,4.13,64,53,38.94230769230769
133,3.3649737,2,0,4.25,69,56.00000000000001,38.139534883720934
134,3.3906681,2,0,4.12,70,56.99999999999999,38.27751196172249
135,3.4179454000000002,2,0,4,64,54,39.10891089108911
136,3.4463123,2,0,4.03,69,53,39.90147783251231
137,3.4722865,2,0,3.96,67,51,39.39393939393939
138,3.5006425,2,0,4.019607843137255,66,51.9607843137255,39.80582524271845
139,3.5302913,2,0,4.107843137254902,65,52.94117647058824,38.862559241706165
140,3.5592134,2,0,4.205882352941177,68,53.92156862745098,38.425925925925924
141,3.5848733,2,0,4.166666666666667,66,54.90196078431373,39.06976744186046
142,3.6121564,2,0,4.137254901960785,68,53.92156862745098,38.967136150234744
143,3.6389188999999997,2,0,4.117647058823529,65,52.94117647058824,39.33649289099526
144,3.6650172999999997,2,0,4.176470588235294,66,53.92156862745098,39.53488372093023
145,3.6930131999999998,2,0,4.264705882352941,65,54.90196078431373,39.09090909090909
146,3.7214869999999998,2,0,4.196078431372549,65,53.92156862745098,39.351851851851855
147,3.7515126999999997,2,0,4.107843137254902,71,51.9607843137255,39.04761904761905
148,3.7802678999999997,2,0,4.127450980392157,65,52.94117647058824,39.62264150943396
149,3.8096673999999995,2,0,2.196078431372549,63,53.92156862745098,49.56521739130435
150,3.8376530999999994,2,0,4.127450980392157,64,51.9607843137255,38.388625592417064
151,3.8664511999999993,2,0,4.15,69,52,38.46153846153847
152,3.8941110999999995,2,0,4.18,67,52,39.04761904761905
153,3.9218327999999993,2,0,4.19,67,53,38.862559241706165
154,3.9502988999999995,2,0,4.19,66,54,38.388625592417064
155,3.9779506999999996,2,0,4.19,65,54,38.388625592417064
156,4.0076383,2,0,4.23,71,55.00000000000001,38.78504672897196
157,4.0368957,2,0,4.34,68,56.00000000000001,38.63636363636363
158,4.0660896,2,0,4.35,66,55.00000000000001,38.18181818181819
159,4.0955822,2,0,4.22,67,53,38.20754716981132
160,4.1240683,2,0,4.03,65,51,39.603960396039604
161,4.1543747,2,0,4.04,64,52,39.90147783251231
162,4.1829697,2,0,4.12,66,52,39.61352657004831
163,4.2115373,2,0,4.186274509803922,70,51.9607843137255,38.78504672897196
164,4.2392188,2,0,4.176470588235294,71,51.9607843137255,38.78504672897196
165,4.2682335,2,0,4.245098039215686,70,52.94117647058824,38.99082568807339
166,4.2979924,2,0,4.2745098039215685,68,53.92156862745098,38.63636363636363
167,4.3293004,2,0,4.392156862745098,70,55.88235294117647,38.76651982378855
168,4.3636478,2,0,4.362745098039215,64,53.92156862745098,39.285714285714285
169,4.393896,2,0,4.205882352941177,63,52.94117647058824,39.81481481481482
