generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.2868773,2,0,0,89,NaN,0
1,0.649077,2.0064,1,3.5,84,50,50
2,1.0556754000000002,2.0076,1,3.44,79,44,47.95918367346938
3,1.4987208,2.0104,1,3.7142857142857144,77,60,46.3768115942029
4,1.9656488,2.012,1,3.6842105263157894,78,65.78947368421053,47.88732394366197
5,2.4160324,2.0132,1,3.7125,77,62.5,48
6,2.8891784,2.0156,1,3.9651162790697674,77,58.139534883720934,47.093023255813954
7,3.3535644000000002,2.0136,1.0294117647058822,3.4302325581395348,76,60.46511627906976,55.10204081632652
8,3.8832908,2.0092,1,3.125,80,54.54545454545454,59.42028985507246
9,4.381705,2.0128,1,2.847826086956522,85,60.86956521739131,63.84615384615384
10,4.8830379,2.0164,1,3.2333333333333334,79,68.88888888888889,61.42857142857143
11,5.5936559,2.0184,1,3.3369565217391304,80,70.65217391304348,61.224489795918366
12,6.0984572,2.0228,1,2.9361702127659575,80,64.8936170212766,64.44444444444444
13,6.578205400000001,2.0188,1,3.106382978723404,78,57.446808510638306,61.80555555555556
14,7.070499600000001,2.0176,1,3.0638297872340425,80,55.319148936170215,62.23776223776224
15,7.5189453,2.0216,1,3.2604166666666665,77,53.125,57.961783439490446
16,7.941085800000001,2.0224,1,3.127659574468085,77,58.51063829787234,62.06896551724138
17,8.3806069,2.0196,1,3.1666666666666665,79,57.291666666666664,62
18,8.8301545,2.0152,1,3.0918367346938775,75,59.183673469387756,61.74496644295302
19,9.279096800000001,2.0176,1,3.1666666666666665,81,55.208333333333336,60.9271523178808
20,9.754452500000001,2.0152,1,3.1041666666666665,77,56.25,62.585034013605444
21,10.793860800000001,2.0152,1,3.0714285714285716,75,53.06122448979592,62.66666666666667
22,11.3208359,2.016,1,3.1041666666666665,74,53.125,60.810810810810814
23,12.0150039,2.0172,1.0232558139534884,3.0729166666666665,75,56.25,59.310344827586206
24,12.4881568,2.022,1.0363636363636364,3.0510204081632653,77,47.95918367346938,61.18421052631579
25,13.0713968,2.0256,1.03125,3.193877551020408,77,62.244897959183675,60.526315789473685
26,13.611291900000001,2.0216,1.0185185185185186,2.979591836734694,78,56.12244897959183,61.111111111111114
27,14.275420500000001,2.0204,1.0392156862745099,3.2551020408163267,77,59.183673469387756,61.53846153846154
28,14.752228800000001,2.0216,1.037037037037037,3.061224489795918,77,62.244897959183675,64.13793103448275
29,15.183564800000001,2.0248,1.0161290322580645,3.27,76,51,59.14634146341463
30,15.707061900000001,2.0276,1,2.85,76,52,66.90140845070422
31,16.810659100000002,2.0324,1,3.29,77,53,57.3170731707317
32,17.3681984,2.0344,1.0116279069767442,2.979591836734694,76,60.204081632653065,64.08450704225352
33,17.8658653,2.036,1,3,76,58.16326530612245,62.5
34,18.3530934,2.0472,1.0169491525423728,3.020408163265306,77,50,63.758389261744966
35,18.7914975,2.0496,1,3.14,80,46,61.25000000000001
36,19.2469951,2.056,1,3.16,75,52,60.75949367088608
37,19.7201522,2.054,1.0074074074074073,3.13,75,57.99999999999999,60.3896103896104
38,20.138560700000003,2.05,1.008,2.9081632653061225,74,51.02040816326531,62.93706293706294
39,20.6155499,2.0428,1,3.0306122448979593,75,54.08163265306123,63.94557823129252
40,21.0364335,2.0468,1,2.8877551020408165,76,48.97959183673469,62.93706293706294
41,21.5120918,2.0564,1.0070921985815602,3.01,75,55.00000000000001,65.1006711409396
42,21.9398496,2.062,1.0129032258064516,3.22,78,50,57.668711656441715
43,22.383450399999997,2.0656,1.0365853658536586,3.09,73,53,61.68831168831169
44,22.7992082,2.0768,1.0208333333333333,2.9693877551020407,75,55.10204081632652,62.5
45,23.2461052,2.0828,1.0144927536231885,3.020408163265306,74,60.204081632653065,62.5
46,23.6569367,2.0868,1.0046082949308757,2.8979591836734695,75,54.08163265306123,62.4113475177305
47,24.0775743,2.096,1.0125,3.11,74,47,60.37735849056604
48,24.8170732,2.0928,1.0301724137931034,2.81,78,56.99999999999999,65.21739130434783
49,25.5305829,2.096,1.0208333333333333,3.15,75,45,59.25925925925925
50,26.018244799999998,2.0952,1.0252100840336134,2.93,79,48,61.48648648648649
51,26.736975199999996,2.1024,1.03515625,3.08,74,56.00000000000001,62.251655629139066
52,27.203965999999998,2.1072,1.037313432835821,3.01,76,61,63.44827586206897
53,27.653301499999998,2.102,1.0196078431372548,2.75,75,47,66.18705035971223
54,28.1376818,2.1104,1.0181159420289856,2.94,80,44,63.33333333333333
55,28.6381081,2.1164,1.0206185567010309,3.07,78,49,61.68831168831169
56,29.0806544,2.1244,1.022508038585209,2.88,77,48,65.51724137931035
57,29.5370132,2.122,1.0295081967213116,3.0294117647058822,75,53.92156862745098,62.745098039215684
58,29.9346065,2.1284,1.0342679127725856,2.8137254901960786,78,52.94117647058824,65.03496503496503
59,30.3505623,2.1236,1.0258899676375404,3.176470588235294,77,54.90196078431373,60.62499999999999
