generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.0188912,2,0,0,85,NaN,0
1,0.0413163,2,0,2,79,50,50
2,0.0672884,2,0,3.36,74,42,31.3953488372093
3,0.0929893,2,0,4.014285714285714,69,37.142857142857146,28.27586206896552
4,0.121184,2,0,3.1315789473684212,68,46.05263157894737,31
5,0.14785399999999999,2,0,3.2625,66,47.5,29.545454545454547
6,0.1742172,2,0,2.7674418604651163,67,52.32558139534884,31.40495867768595
7,0.2004553,2,0,3.616279069767442,67,51.162790697674424,25.64102564102564
8,0.2297984,2,0,3.340909090909091,68,42.04545454545455,30.065359477124183
9,0.2596079,2,0,3.7282608695652173,67,50,26.436781609195403
10,0.2881495,2,0,3.2888888888888888,70,48.888888888888886,26.490066225165563
11,0.3158968,2,0,3.467391304347826,71,47.82608695652174,26.993865030674847
12,0.3451942,2,0,2.6702127659574466,68,45.744680851063826,31.73076923076923
13,0.37350310000000003,2,0,3.5106382978723403,69,47.87234042553192,28.143712574850298
14,0.4019477,2,0,3.4893617021276597,69,53.191489361702125,25.301204819277107
15,0.42873490000000003,2,0,3.0416666666666665,70,58.333333333333336,24.82758620689655
16,0.45661470000000004,2,0,3.5531914893617023,68,53.191489361702125,26.627218934911244
17,0.4862871,2,0,3.3333333333333335,68,53.125,27.77777777777778
18,0.515682,2,0,3.510204081632653,73,43.87755102040816,28.40909090909091
19,0.5455004999999999,2,0,4.135416666666667,68,45.83333333333333,27.683615819209038
20,0.575379,2,0,3.75,70,48.95833333333333,27.717391304347828
21,0.604579,2,0,3.489795918367347,70,51.02040816326531,25.287356321839084
22,0.6343736,2,0,2.90625,67,52.083333333333336,31.914893617021278
23,0.6637136,2,0,2.7291666666666665,68,63.541666666666664,32.432432432432435
24,0.6957701000000001,2,0,2.8979591836734695,69,74.48979591836735,22.76422764227642
25,0.7253198000000001,2,0,2.8469387755102042,73,59.183673469387756,35.833333333333336
26,0.755213,2,0,2.7857142857142856,76,56.12244897959183,41.02564102564102
27,0.7840702,2,0,2.806122448979592,75,70.40816326530613,30.57851239669421
28,0.8129409000000001,2,0,2.7857142857142856,72,63.26530612244898,37.81512605042017
29,0.8427344000000001,2,0,2.99,75,60,41.48148148148148
30,0.8703739000000001,2,0,2.94,71,62,39.23076923076923
31,0.8984366000000001,2,0,2.89,73,65,34.883720930232556
32,0.9268459000000001,2,0,2.8979591836734695,70,55.10204081632652,44.44444444444444
33,0.9582163000000001,2,0,3.122448979591837,69,55.10204081632652,42.7536231884058
34,0.9852068000000002,2,0,2.938775510204082,71,51.02040816326531,41.732283464566926
35,1.0124037000000001,2,0,2.96,74,65,37.3134328358209
36,1.0395991000000002,2,0,2.71,70,64,43.90243902439025
37,1.0675484000000002,2,0,2.78,71,54,47.58064516129033
38,1.0958113000000003,2,0,3.142857142857143,75,59.183673469387756,42.36111111111111
39,1.1229037000000002,2,0,2.989795918367347,71,64.28571428571429,44.44444444444444
40,1.1519719000000002,2,0,2.8469387755102042,70,57.14285714285714,43.2
41,1.1806085000000002,2,0,2.99,73,54,45.98540145985402
42,1.2118472000000002,2,0,3.02,76,54,48.201438848920866
43,1.2411854000000002,2,0,2.78,67,61,46.09375
44,1.2704297000000002,2,0,3,69,56.12244897959183,47.40740740740741
45,1.2978958000000003,2,0,3.0816326530612246,71,65.3061224489796,43.66197183098591
46,1.3252087000000004,2,0,2.693877551020408,72,58.16326530612245,50.83333333333333
47,1.3538477000000004,2,0,3.26,69,56.00000000000001,44.370860927152314
48,1.3835317000000005,2,0,2.8,70,64,50
49,1.4114074000000005,2,0,2.97,68,46,48.529411764705884
50,1.4394227000000006,2,0,2.85,68,53,48.46153846153846
51,1.4679426000000007,2,0,3.15,69,56.00000000000001,48
52,1.4980747000000008,2,0,2.9,70,52,52.98507462686567
53,1.5275730000000007,2,0,2.99,68,56.00000000000001,48.201438848920866
54,1.5549076000000008,2,0,3.15,73,56.00000000000001,48.322147651006716
55,1.5838494000000007,2,0,3.2,68,64,47.096774193548384
56,1.6121456000000007,2,0,2.84,69,55.00000000000001,53.73134328358209
57,1.6404922000000006,2,0,3.0686274509803924,70,59.80392156862745,50
58,1.6698816000000005,2,0,3.0294117647058822,71,57.84313725490197,50.34013605442177
59,1.6957441000000004,2,0,2.764705882352941,68,57.84313725490197,51.127819548872175
60,1.7211172000000003,2,0,2.823529411764706,72,52.94117647058824,56.61764705882353
61,1.7477346000000002,2,0,2.9019607843137254,68,53.92156862745098,55.319148936170215
62,1.7739986000000003,2,0,3.049019607843137,70,47.05882352941176,53.103448275862064
63,1.8005617000000003,2,0,2.89,72,60,49.63503649635037
64,1.8274526000000002,2,0,3.12,71,56.99999999999999,50.66666666666667
65,1.8539694000000002,2,0,2.85,70,66,49.63503649635037
66,1.8789627000000002,2,0,2.95,70,51,49.26470588235294
67,1.9058410000000001,2,0,2.96,69,54,54.285714285714285
68,1.9324791000000001,2,0,3.06,68,50,54.109589041095894
69,1.9614546000000002,2,0,2.735294117647059,70,57.84313725490197,54.47761194029851
