generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,0.1792625,2,0,0,67,NaN,0
1,0.4412076,2.0032,1,0.5,73,50,0
2,0.7338689,2.0064,1,1.24,72,57.99999999999999,50
3,0.987773,2.0108,1,1.3857142857142857,72,55.714285714285715,52.17391304347826
4,1.2572788,2.0156,1,1.4473684210526316,74,59.210526315789465,48.07692307692308
5,1.5395868,2.0164,1,1.3375,73,57.49999999999999,40.42553191489361
6,1.8026475999999998,2.0136,1,1.3953488372093024,76,58.139534883720934,46.55172413793103
7,2.0868214,2.016,1,1.6744186046511629,76,59.30232558139535,45.45454545454545
8,2.3672166999999997,2.0156,1,1.8068181818181819,75,54.54545454545454,41.9753086419753
9,2.6320222999999996,2.0148,1,1.673913043478261,74,53.2608695652174,35.13513513513514
10,2.8925296999999994,2.0148,1,1.5555555555555556,76,50,45.714285714285715
11,3.1452285999999994,2.0188,1,1.7391304347826086,77,53.2608695652174,36.84210526315789
12,3.408657399999999,2.0156,1,1.8297872340425532,78,58.51063829787234,37.5
13,3.684447899999999,2.0136,1,1.6914893617021276,74,52.12765957446809,46.835443037974684
14,3.963865299999999,2.0116,1,1.6914893617021276,75,45.744680851063826,40.25974025974026
15,4.247281299999999,2.0088,1,1.8229166666666667,72,53.125,45.97701149425287
16,4.5113620999999995,2.012,1,1.872340425531915,74,59.57446808510638,46.98795180722892
17,4.7568794,2.0164,1,1.7395833333333333,74,47.91666666666667,40.963855421686745
18,5.0314388999999995,2.0136,1,1.969387755102041,74,50,40.625
19,5.288652699999999,2.0108,1,1.7291666666666667,75,48.95833333333333,32.142857142857146
20,5.550182699999999,2.012,1.0333333333333334,1.8645833333333333,76,57.291666666666664,37.5
21,5.821040899999999,2.0112,1,2.0918367346938775,73,42.857142857142854,32.6530612244898
22,6.071672499999999,2.0124,1,2.0625,74,54.166666666666664,39.795918367346935
