generation,time,avg_layers,avg_hidden_layer_size,avg_moves,best_agent_fitness,best_agent_wins_percentage,best_agent_avg_performance
0,1.6623348,2,0,0,76,NaN,0
1,9.140702600000001,2.07176,1,1,79,50,0
2,16.3862677,2.11872,1.0252695417789757,1.38,81,54,45.714285714285715
3,23.383531,2.14656,1.0477620087336244,1.3428571428571427,80,54.285714285714285,44.680851063829785
4,30.394212500000002,2.16636,1.0675643183457562,1.4210526315789473,80,56.57894736842105,47.27272727272727
5,37.332254400000004,2.17424,1.075068870523416,1.3625,77,50,39.285714285714285
6,44.69047440000001,2.18304,1.0738636363636365,1.4186046511627908,77,46.51162790697674,43.07692307692308
7,52.809699900000005,2.18936,1.090621039290241,1.4534883720930232,77,56.97674418604651,49.2063492063492
8,59.972871000000005,2.19324,1.0968743531359968,1.6590909090909092,77,61.36363636363637,51.470588235294116
9,66.8612708,2.19452,1.1054904380012338,1.891304347826087,77,46.73913043478261,51.21951219512195
10,73.8091388,2.19848,1.1106408706166868,1.5666666666666667,78,48.888888888888886,51.515151515151516
11,80.6430771,2.19884,1.1110440555220278,1.565217391304348,77,60.86956521739131,58.9041095890411
12,87.6749573,2.20008,1.1101559376249501,1.5106382978723405,77,41.48936170212766,43.83561643835616
13,94.6104249,2.20204,1.1160166303702237,1.5425531914893618,76,45.744680851063826,44.44444444444444
14,101.6175013,2.2016,1.1248015873015873,1.5851063829787233,77,46.808510638297875,47.94520547945205
15,108.7808377,2.20252,1.1317400750543156,1.4270833333333333,77,54.166666666666664,47.05882352941176
16,116.98624520000001,2.20288,1.1230283911671923,1.5638297872340425,79,59.57446808510638,58.44155844155844
17,124.9382946,2.20376,1.1234786022771888,1.4166666666666667,80,53.125,46.3768115942029
18,131.7600305,2.20184,1.1206896551724137,1.469387755102041,77,63.26530612244898,52.77777777777778
19,139.0212269,2.2056,1.121011673151751,1.4791666666666667,78,42.70833333333333,39.130434782608695
20,146.0112115,2.20232,1.119612495057335,1.5,77,47.91666666666667,31.25
21,152.8575216,2.21304,1.1205407435223431,1.510204081632653,78,51.02040816326531,43.07692307692308
22,159.68547980000002,2.22664,1.1268972820331804,1.4166666666666667,79,52.083333333333336,42.028985507246375
23,166.581453,2.237,1.1316455696202532,1.5729166666666667,78,50,54.21686746987952
24,174.0882526,2.24044,1.135584761271003,1.469387755102041,80,62.244897959183675,50.76923076923077
25,180.8198888,2.2544,1.1342767295597485,1.5510204081632653,76,46.93877551020408,44.871794871794876
26,187.7572419,2.25824,1.1471499380421313,1.3571428571428572,78,45.91836734693878,49.275362318840585
27,194.6756062,2.2598,1.1490377213240954,1.4285714285714286,78,50,51.42857142857142
28,201.5408174,2.25812,1.151402448473578,1.4081632653061225,80,43.87755102040816,26.229508196721312
29,209.80365020000002,2.2624,1.15625,1.6,77,56.99999999999999,51.89873417721519
30,216.62204090000003,2.27252,1.1461911052399825,1.27,78,53,48.4375
31,223.54718940000004,2.2802,1.1399000713775875,1.43,78,53,32.8125
32,230.35156200000003,2.2824,1.136685552407932,1.6224489795918366,76,56.12244897959183,54.87804878048781
33,237.24443300000001,2.28344,1.13844199830652,1.4387755102040816,81,50,52.054794520547944
34,244.0374112,2.2848,1.140870786516854,1.4081632653061225,78,58.16326530612245,67.56756756756756
35,250.91035530000002,2.28228,1.1482216239195124,1.51,79,61,40.57971014492754
36,257.7449972,2.28632,1.1440346465493154,1.45,79,53,45.20547945205479
37,264.8710869,2.2888,1.1454293628808865,1.43,78,45,41.891891891891895
38,271.6600383,2.28688,1.1416620189626325,1.4285714285714286,78,51.02040816326531,48.61111111111111
